Miami,Milwaukee,time_rem
0-2,2-0,48M 0S
0,0,47M 47S
0,3,47M 10S
0,5,46M 39S
0,8,46M 12S
2,8,45M 50S
2,10,45M 29S
2,12,44M 45S
2,15,44M 14S
4,15,43M 48S
4,17,43M 31S
4,19,43M 4S
5,19,42M 56S
7,19,42M 18S
7,21,42M 6S
10,21,41M 53S
10,23,41M 3S
10,26,40M 34S
10,29,40M 16S
12,29,39M 49S
12,32,39M 18S
14,32,39M 3S
14,35,38M 47S
14,38,38M 16S
15,38,38M 4S
15,41,37M 41S
16,41,37M 35S
18,41,37M 24S
18,43,37M 14S
18,46,37M 1S
20,46,36M 25S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
21,46,35M 47S
22,46,35M 47S
24,46,34M 51S
25,46,34M 51S
27,46,34M 24S
27,48,34M 9S
27,50,33M 47S
30,50,33M 39S
30,53,33M 14S
32,53,32M 55S
32,55,32M 43S
33,55,31M 33S
34,55,31M 33S
34,57,31M 9S
34,60,30M 38S
36,60,30M 17S
36,62,30M 6S
36,63,29M 34S
36,64,29M 34S
36,67,28M 56S
38,67,28M 38S
39,67,28M 19S
42,67,27M 48S
42,70,27M 19S
45,70,27M 2S
45,71,26M 25S
46,71,25M 13S
47,71,25M 13S
47,73,24M 55S
49,73,24M 42S
49,76,24M 32S
50,76,24M 28S
51,76,24M 28S
51,78,24M 5S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
53,78,23M 5S
53,80,21M 59S
53,81,21M 59S
53,82,21M 49S
55,82,21M 35S
55,84,21M 26S
57,84,20M 53S
57,85,20M 41S
57,86,20M 41S
57,87,20M 41S
57,89,20M 0S
59,89,19M 18S
61,89,18M 44S
62,89,18M 28S
62,90,18M 14S
62,91,18M 14S
62,93,17M 49S
62,94,17M 9S
63,94,16M 57S
64,94,16M 57S
65,94,16M 50S
66,94,16M 50S
66,96,16M 10S
68,96,15M 40S
70,96,15M 8S
70,97,14M 52S
70,98,14M 52S
72,98,14M 2S
72,101,13M 47S
74,101,13M 18S
74,104,12M 52S
77,104,12M 30S
77,107,12M 15S
78,107,12M 9S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,107,10M 50S
79,108,10M 50S
79,109,10M 50S
79,111,9M 57S
81,111,9M 51S
81,114,9M 32S
84,114,9M 7S
84,115,8M 53S
84,116,8M 53S
84,117,8M 53S
86,117,8M 29S
87,117,8M 14S
88,117,8M 14S
88,119,7M 12S
89,119,6M 27S
89,122,5M 29S
89,125,4M 14S
92,125,3M 55S
94,125,3M 30S
97,125,3M 4S
98,125,2M 33S
98,128,2M 2S
98,130,1M 34S
98,132,1M 7S
End of 4th quarter,NA,0S
