Miami,Orlando,time_rem
0-1,1-0,48M 0S
2,0,47M 47S
2,2,47M 30S
5,2,46M 33S
7,2,46M 16S
7,5,45M 32S
7,7,44M 55S
7,9,44M 10S
7,10,44M 10S
9,10,43M 27S
12,10,42M 57S
12,12,42M 34S
15,12,42M 16S
15,14,41M 36S
15,16,41M 14S
15,18,40M 57S
18,18,40M 37S
19,18,40M 12S
20,18,40M 12S
22,18,39M 54S
22,20,39M 10S
23,20,38M 44S
23,22,38M 24S
25,22,38M 13S
27,22,36M 57S
27,25,36M 48S
29,25,36M 38S
29,27,36M 0S
End of 1st quarter,NA,24M 0S
Start of 2nd quarter,NA,24M 0S
29,29,23M 47S
31,29,23M 23S
32,29,23M 23S
32,31,22M 34S
34,31,22M 7S
36,31,20M 52S
36,33,20M 41S
36,36,20M 26S
36,38,19M 45S
38,38,19M 28S
38,40,19M 15S
41,40,19M 0S
41,42,18M 43S
41,43,17M 56S
41,45,17M 51S
43,45,17M 28S
45,45,16M 40S
45,47,16M 14S
45,49,15M 45S
47,49,15M 29S
47,52,15M 17S
49,52,15M 1S
49,54,14M 28S
49,55,13M 46S
49,56,13M 46S
50,56,13M 35S
51,56,13M 35S
53,56,13M 3S
End of 2nd quarter,NA,12M 0S
Start of 3rd quarter,NA,12M 0S
53,58,11M 43S
55,58,10M 44S
55,60,10M 5S
56,60,9M 52S
57,60,9M 52S
58,60,9M 52S
60,60,9M 22S
61,60,8M 57S
62,60,8M 57S
62,63,8M 22S
62,65,8M 0S
64,65,6M 52S
64,66,6M 33S
64,68,5M 49S
64,71,5M 28S
66,71,4M 53S
67,71,4M 53S
69,71,4M 36S
69,73,4M 24S
69,74,4M 24S
71,74,4M 11S
74,74,3M 34S
74,76,3M 17S
76,76,2M 33S
76,77,2M 21S
76,78,2M 21S
77,78,2M 12S
78,78,2M 12S
80,78,1M 48S
80,79,1M 32S
82,79,1M 19S
83,79,20S
End of 3rd quarter,NA,0S
Start of 4th quarter,NA,0S
83,82,-1M 34S
85,82,-1M 0S
85,83,-2M 48S
85,84,-2M 48S
85,86,-3M 41S
87,86,-3M 11S
87,89,-4M 59S
87,91,-4M 33S
89,91,-4M 11S
91,91,-6M 7S
93,91,-8M 29S
93,94,-8M 17S
95,94,-9M 57S
95,97,-9M 46S
95,99,-9M 11S
98,99,-9M 1S
98,101,-10M 46S
98,103,-11M 45S
99,103,-11M 24S
99,104,-11M 11S
99,105,-11M 11S
101,105,-11M 4S
101,107,-12M 49S
101,108,-12M 49S
101,109,-12M 28S
101,110,-12M 28S
103,110,-12M 23S
103,111,-12M 18S
103,112,-12M 18S
105,112,-12M 10S
105,113,-12M 7S
107,113,-12M 1S
End of 4th quarter,NA,-12M 0S
