Miami,Toronto,time_rem
6-7,5-9,48M 0S
0,0,47M 45S
0,1,47M 31S
0,2,47M 31S
0,4,47M 11S
3,4,46M 55S
6,4,45M 2S
6,7,44M 14S
9,7,43M 0S
9,10,42M 42S
9,13,41M 10S
11,13,40M 57S
11,15,40M 38S
14,15,40M 13S
16,15,39M 49S
16,17,39M 34S
18,17,39M 16S
18,19,39M 2S
21,19,38M 52S
23,19,38M 35S
24,19,38M 35S
24,21,37M 48S
27,21,37M 18S
29,21,36M 55S
29,23,36M 40S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,23,35M 48S
34,23,35M 27S
34,26,35M 9S
37,26,34M 21S
37,28,33M 28S
37,31,32M 54S
37,34,32M 15S
37,35,31M 51S
39,35,31M 42S
39,37,31M 32S
41,37,31M 16S
41,39,30M 43S
43,39,30M 29S
44,39,30M 29S
46,39,30M 11S
46,42,29M 27S
46,44,28M 54S
49,44,27M 33S
49,47,26M 43S
49,49,26M 23S
52,49,26M 8S
52,52,25M 52S
52,53,25M 33S
52,54,25M 33S
54,54,25M 13S
54,56,24M 49S
56,56,24M 33S
56,58,24M 26S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,58,23M 32S
58,61,23M 12S
61,61,22M 25S
61,63,22M 9S
62,63,21M 40S
63,63,21M 40S
63,66,20M 20S
63,67,19M 56S
63,68,19M 56S
66,68,19M 27S
66,70,19M 2S
68,70,18M 48S
69,70,18M 48S
69,71,18M 26S
69,72,18M 26S
70,72,17M 31S
71,72,17M 31S
72,72,17M 31S
75,72,16M 27S
77,72,15M 42S
77,75,15M 20S
79,75,15M 7S
79,77,14M 54S
82,77,14M 37S
83,77,14M 3S
84,77,14M 3S
84,78,13M 24S
86,78,13M 11S
86,81,12M 45S
88,81,12M 31S
88,82,12M 13S
88,83,12M 13S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,85,11M 32S
91,85,10M 13S
93,85,8M 57S
94,85,8M 57S
Jump ball: O. Anunoby vs. K. Nunn (C. Boucher gains possession),NA,8M 19S
Jump ball: C. Boucher vs. B. Adebayo (O. Anunoby gains possession),NA,7M 52S
96,85,6M 58S
96,87,5M 17S
99,87,5M 4S
99,90,4M 33S
102,90,3M 57S
105,90,2M 53S
105,91,1M 53S
105,92,1M 53S
107,92,1M 48S
107,94,1M 36S
107,97,1M 27S
108,97,1M 18S
109,97,1M 18S
109,100,1M 11S
110,100,1M 8S
111,100,1M 8S
111,101,26S
111,102,26S
End of 4th quarter,NA,0S
