Milwaukee,Chicago,time_rem
39-24,26-37,48M 0S
0,0,47M 46S
0,2,46M 38S
3,2,45M 40S
6,2,45M 10S
8,2,44M 50S
8,4,44M 20S
11,4,44M 9S
11,6,43M 36S
13,6,43M 1S
15,6,42M 29S
15,9,41M 34S
18,9,41M 20S
20,9,39M 37S
20,10,38M 52S
22,10,37M 58S
22,11,37M 42S
22,12,37M 42S
24,12,37M 6S
24,14,36M 46S
24,16,36M 33S
26,16,36M 11S
28,16,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,19,35M 48S
28,21,34M 50S
30,21,34M 40S
32,21,33M 11S
34,21,32M 43S
36,21,32M 15S
38,21,31M 47S
40,21,31M 14S
40,23,30M 58S
41,23,30M 1S
41,25,29M 39S
42,25,29M 27S
42,27,29M 10S
42,30,28M 24S
42,32,28M 5S
42,35,27M 29S
42,37,27M 1S
42,40,26M 36S
44,40,26M 19S
46,40,25M 27S
46,42,25M 18S
48,42,25M 7S
49,42,24M 45S
50,42,24M 45S
52,42,24M 17S
52,44,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,44,23M 0S
55,44,23M 0S
55,46,22M 41S
57,46,22M 24S
57,47,21M 48S
59,47,21M 32S
61,47,20M 34S
63,47,19M 27S
63,48,18M 28S
65,48,18M 9S
65,50,17M 48S
65,51,17M 22S
65,52,17M 22S
67,52,17M 8S
67,53,16M 49S
67,54,16M 49S
70,54,16M 10S
70,57,15M 35S
72,57,15M 17S
72,59,14M 37S
72,61,14M 2S
75,61,13M 54S
75,63,13M 32S
76,63,12M 54S
77,63,12M 54S
79,63,12M 15S
80,63,12M 15S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,63,11M 10S
81,66,10M 58S
83,66,10M 47S
83,68,10M 30S
83,70,10M 2S
86,70,9M 21S
88,70,8M 46S
88,72,8M 27S
88,74,7M 58S
88,75,7M 40S
88,76,7M 40S
90,76,7M 26S
90,78,6M 41S
90,80,6M 6S
93,80,5M 46S
93,82,5M 21S
95,82,4M 57S
97,82,4M 32S
98,82,4M 32S
98,85,4M 1S
99,85,3M 46S
100,85,3M 46S
100,88,3M 2S
100,90,2M 31S
100,91,2M 31S
100,92,2M 31S
102,92,2M 15S
102,93,1M 56S
103,93,1M 47S
104,93,1M 47S
104,96,1M 39S
107,96,1M 17S
108,96,56S
108,98,27S
End of 4th quarter,NA,0S
