Milwaukee,Houston,time_rem
38-24,16-47,48M 0S
2,0,47M 47S
3,0,47M 28S
5,0,47M 6S
5,3,45M 22S
5,5,44M 58S
8,5,44M 41S
10,5,44M 20S
10,8,43M 54S
12,8,43M 44S
12,10,43M 6S
14,10,42M 56S
17,10,42M 4S
20,10,41M 44S
23,10,41M 8S
23,11,40M 46S
23,12,40M 46S
23,14,40M 31S
25,14,40M 13S
27,14,39M 46S
27,16,39M 28S
30,16,39M 18S
30,18,38M 58S
32,18,38M 47S
32,20,38M 36S
34,20,38M 19S
34,22,38M 0S
34,24,37M 31S
35,24,37M 9S
36,24,37M 9S
36,26,36M 27S
37,26,36M 7S
38,26,36M 7S
38,27,36M 0S
38,28,36M 0S
38,29,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
40,29,35M 28S
43,29,34M 13S
43,31,34M 1S
46,31,33M 42S
46,34,33M 31S
48,34,32M 48S
48,36,32M 32S
50,36,31M 47S
51,36,31M 47S
51,39,31M 34S
53,39,30M 59S
53,41,30M 45S
56,41,29M 46S
56,44,29M 30S
57,44,29M 23S
58,44,29M 23S
58,45,29M 12S
58,46,29M 12S
58,49,28M 48S
61,49,28M 33S
61,52,28M 21S
63,52,28M 7S
66,52,27M 45S
69,52,27M 18S
69,53,27M 3S
69,54,26M 20S
69,55,26M 20S
71,55,26M 10S
71,57,25M 48S
71,60,24M 54S
73,60,24M 34S
73,63,24M 29S
73,65,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
73,67,23M 7S
73,69,22M 35S
73,72,21M 57S
73,74,21M 29S
76,74,21M 16S
76,76,20M 51S
78,76,20M 21S
78,79,20M 7S
78,82,19M 49S
79,82,19M 30S
79,85,19M 10S
82,85,18M 59S
82,88,18M 18S
84,88,18M 0S
85,88,18M 0S
86,88,17M 33S
87,88,17M 33S
87,91,16M 53S
87,93,16M 35S
87,94,16M 35S
87,95,16M 27S
89,95,16M 25S
90,95,16M 25S
92,95,15M 38S
92,96,15M 21S
93,96,15M 2S
94,96,15M 2S
94,97,14M 41S
94,98,14M 41S
96,98,14M 10S
96,101,13M 57S
96,104,12M 59S
98,104,12M 46S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
100,104,11M 40S
100,107,11M 24S
102,107,10M 56S
103,107,10M 56S
105,107,10M 31S
107,107,10M 7S
108,107,10M 7S
108,109,9M 57S
110,109,9M 48S
113,109,9M 29S
113,112,9M 10S
114,112,8M 52S
117,112,8M 27S
117,114,8M 15S
119,114,7M 59S
119,116,7M 13S
121,116,6M 56S
121,119,6M 43S
122,119,6M 31S
123,119,6M 31S
123,122,6M 13S
125,122,5M 52S
125,124,5M 1S
125,125,5M 1S
125,128,4M 33S
125,131,4M 3S
125,132,3M 41S
127,132,3M 23S
129,132,2M 54S
131,132,2M 26S
131,135,2M 9S
132,135,1M 54S
133,135,1M 54S
133,138,1M 42S
136,138,1M 36S
136,139,1M 14S
136,140,1M 14S
136,142,43S
Jump ball: P. Tucker vs. K. Olynyk (P. Tucker gains possession),NA,30S
136,143,20S
End of 4th quarter,NA,0S
