Milwaukee,Miami,time_rem
3-0,0-3,48M 0S
0,0,47M 32S
0,2,46M 56S
2,2,46M 39S
5,2,46M 10S
6,2,46M 10S
6,4,44M 13S
8,4,43M 58S
10,4,43M 33S
12,4,42M 58S
12,6,42M 15S
13,6,41M 34S
13,8,40M 2S
16,8,39M 50S
19,8,39M 14S
20,8,38M 46S
21,8,38M 46S
21,11,38M 3S
24,11,37M 48S
24,14,37M 36S
26,14,36M 43S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,16,34M 39S
29,16,33M 52S
29,18,32M 42S
29,20,32M 10S
31,20,31M 52S
33,20,30M 42S
35,20,30M 12S
37,20,29M 35S
38,20,29M 35S
38,23,29M 20S
40,23,28M 56S
40,25,28M 11S
42,25,28M 2S
44,25,27M 24S
44,27,27M 3S
45,27,26M 48S
45,30,26M 37S
47,30,26M 24S
47,31,25M 45S
47,32,25M 45S
47,33,24M 50S
47,34,24M 50S
49,34,24M 34S
49,36,24M 19S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
51,36,23M 26S
54,36,23M 8S
54,38,22M 45S
54,40,22M 24S
56,40,22M 1S
Jump ball: B. Lopez vs. J. Butler (B. Forbes gains possession),NA,20M 16S
56,42,19M 26S
59,42,19M 13S
59,44,18M 15S
59,45,18M 15S
61,45,17M 53S
61,46,17M 19S
61,47,17M 19S
64,47,17M 6S
64,50,16M 55S
65,50,16M 42S
66,50,16M 42S
69,50,16M 15S
69,52,15M 49S
72,52,15M 36S
72,53,15M 22S
74,53,15M 7S
77,53,14M 47S
80,53,14M 9S
80,56,13M 59S
82,56,13M 11S
82,58,12M 58S
84,58,12M 41S
84,60,12M 23S
86,60,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,60,11M 44S
88,61,11M 28S
88,62,11M 28S
Jump ball: B. Adebayo vs. G. Antetokounmpo (N. Bjelica gains possession),NA,11M 10S
88,65,10M 34S
88,68,9M 54S
89,68,9M 6S
89,70,8M 43S
90,70,8M 29S
91,70,8M 29S
93,70,7M 52S
94,70,7M 52S
94,73,7M 23S
96,73,7M 4S
98,73,6M 43S
100,73,6M 28S
103,73,5M 45S
103,75,5M 25S
105,75,5M 9S
107,75,4M 35S
107,77,4M 20S
107,79,3M 49S
109,79,3M 1S
109,81,2M 45S
110,81,2M 3S
111,81,2M 3S
111,82,1M 51S
111,84,1M 31S
113,84,26S
End of 4th quarter,NA,0S
