Milwaukee,New Orleans,time_rem
11-7,7-10,48M 0S
0,2,47M 39S
2,2,47M 25S
2,4,46M 34S
2,7,46M 2S
5,7,45M 28S
8,7,44M 43S
8,10,44M 29S
8,13,43M 10S
11,13,42M 48S
11,16,42M 31S
11,17,41M 35S
13,17,41M 22S
14,17,41M 8S
15,17,41M 8S
15,18,40M 51S
15,19,40M 51S
17,19,39M 47S
17,21,39M 30S
19,21,39M 19S
19,23,38M 58S
21,23,38M 41S
21,26,38M 28S
21,29,38M 6S
21,32,37M 36S
21,35,36M 55S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,35,35M 47S
24,35,34M 59S
24,38,34M 48S
26,38,34M 33S
26,40,34M 23S
26,41,34M 23S
26,43,33M 44S
28,43,32M 51S
28,45,31M 46S
28,47,31M 36S
29,47,31M 18S
29,50,30M 58S
29,52,30M 20S
29,54,29M 46S
29,55,29M 46S
29,57,29M 18S
31,57,29M 4S
31,58,28M 10S
31,59,28M 10S
32,59,27M 59S
33,59,27M 34S
33,62,27M 18S
36,62,27M 5S
Jump ball: K. Middleton vs. E. Bledsoe (B. Lopez gains possession),NA,26M 44S
39,62,26M 31S
39,63,26M 0S
41,63,25M 50S
41,65,25M 37S
43,65,25M 24S
43,68,25M 10S
45,68,24M 23S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
45,71,23M 32S
47,71,23M 16S
47,74,23M 0S
49,74,22M 13S
49,77,21M 35S
51,77,21M 23S
51,78,21M 13S
51,79,21M 13S
54,79,20M 46S
54,81,20M 13S
57,81,19M 48S
57,84,19M 7S
59,84,18M 53S
59,87,18M 26S
61,87,18M 13S
61,89,18M 1S
63,89,17M 54S
63,90,17M 15S
63,91,17M 15S
65,91,17M 5S
65,93,16M 35S
67,93,16M 22S
68,93,15M 58S
69,93,15M 58S
70,93,15M 58S
72,93,15M 31S
75,93,15M 3S
75,96,14M 51S
78,96,14M 39S
80,96,14M 14S
82,96,13M 53S
83,96,13M 53S
85,96,13M 27S
85,98,13M 8S
87,98,12M 54S
89,98,12M 32S
89,100,12M 21S
89,103,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,105,11M 40S
91,105,11M 3S
91,107,10M 15S
91,108,10M 15S
94,108,10M 5S
94,111,9M 51S
96,111,9M 36S
97,111,9M 36S
99,111,9M 16S
100,111,9M 16S
100,113,8M 55S
103,113,8M 17S
103,114,7M 54S
104,114,7M 39S
105,114,7M 39S
105,116,7M 21S
105,118,6M 39S
105,119,5M 47S
105,120,5M 47S
108,120,5M 36S
108,122,4M 59S
110,122,4M 39S
112,122,4M 9S
112,125,3M 54S
113,125,3M 33S
114,125,3M 33S
116,125,2M 58S
116,127,2M 31S
118,127,1M 41S
120,127,1M 10S
121,127,48S
121,128,12S
123,128,7S
123,129,5S
123,130,5S
126,130,3S
126,131,1S
End of 4th quarter,NA,0S
