Milwaukee,Phoenix,time_rem
16-9,15-9,48M 0S
0,0,47M 42S
2,0,47M 35S
2,3,47M 7S
5,3,46M 55S
5,5,46M 8S
5,7,45M 48S
8,7,45M 25S
8,9,45M 10S
10,9,44M 58S
10,11,44M 46S
11,11,44M 39S
12,11,44M 39S
12,13,43M 58S
15,13,43M 42S
17,13,43M 22S
17,15,42M 57S
20,15,42M 46S
20,18,42M 35S
22,18,42M 21S
22,20,41M 15S
22,22,40M 51S
24,22,40M 34S
24,24,40M 19S
27,24,39M 35S
27,26,39M 23S
30,26,39M 14S
30,29,38M 20S
30,30,37M 56S
32,30,37M 11S
32,32,37M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,32,35M 7S
37,32,33M 20S
37,34,33M 4S
38,34,32M 46S
38,37,32M 8S
40,37,31M 49S
42,37,31M 29S
42,39,31M 10S
45,39,31M 0S
48,39,30M 34S
49,39,30M 16S
49,42,30M 7S
52,42,29M 56S
52,44,29M 33S
54,44,29M 17S
54,46,28M 59S
56,46,28M 28S
56,49,28M 20S
59,49,27M 59S
61,49,27M 32S
61,51,27M 2S
64,51,26M 52S
67,51,26M 6S
67,53,25M 52S
69,53,25M 31S
69,55,25M 20S
69,56,24M 29S
69,57,24M 29S
69,58,24M 3S
69,59,24M 3S
70,59,24M 0S
71,59,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
71,61,23M 46S
71,63,23M 30S
72,63,22M 56S
73,63,22M 56S
73,65,22M 46S
74,65,22M 4S
75,65,22M 4S
75,66,21M 42S
75,67,21M 42S
77,67,21M 27S
77,68,21M 10S
77,69,21M 10S
79,69,20M 49S
79,72,20M 31S
79,75,20M 9S
82,75,19M 37S
84,75,19M 9S
85,75,19M 9S
85,77,18M 59S
85,78,18M 59S
87,78,18M 43S
87,80,18M 32S
88,80,17M 56S
88,82,17M 22S
89,82,17M 5S
89,84,16M 52S
90,84,16M 38S
91,84,16M 38S
91,85,16M 30S
92,85,16M 13S
93,85,16M 13S
96,85,15M 42S
96,87,15M 32S
97,87,15M 16S
99,87,14M 49S
99,88,14M 31S
99,89,14M 31S
99,90,13M 58S
99,93,13M 33S
99,96,12M 58S
99,98,12M 9S
101,98,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
101,101,11M 32S
101,104,10M 59S
101,107,10M 18S
103,107,9M 55S
105,107,9M 20S
106,107,9M 20S
106,109,8M 17S
106,112,7M 40S
108,112,7M 21S
108,113,7M 5S
110,113,6M 52S
112,113,6M 3S
112,116,5M 31S
112,118,4M 49S
114,118,4M 30S
115,118,4M 28S
116,118,4M 28S
116,119,3M 48S
116,120,3M 48S
116,122,3M 10S
116,124,2M 30S
118,124,2M 20S
119,124,2M 20S
122,124,1M 18S
124,124,47S
124,125,32S
End of 4th quarter,NA,0S
