Minnesota,Golden State,time_rem
4-12,9-8,48M 0S
0,0,47M 44S
0,2,47M 31S
2,2,47M 25S
2,3,46M 48S
2,4,46M 48S
2,6,46M 11S
2,7,46M 11S
4,7,45M 51S
4,10,45M 37S
4,12,45M 13S
4,14,44M 27S
4,16,44M 3S
4,19,43M 38S
5,19,43M 18S
6,19,43M 18S
9,19,42M 53S
9,21,42M 33S
11,21,42M 10S
11,24,41M 54S
11,26,41M 21S
11,27,41M 21S
11,28,40M 40S
13,28,40M 28S
13,30,40M 14S
15,30,39M 57S
17,30,38M 55S
Jump ball: A. Wiggins vs. J. McDaniels (M. Mulder gains possession),NA,38M 38S
18,30,37M 55S
19,30,37M 55S
21,30,37M 34S
21,32,37M 1S
23,32,36M 50S
23,33,36M 3S
23,34,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,37,35M 14S
25,37,34M 34S
27,37,33M 59S
28,37,33M 34S
29,37,33M 34S
31,37,33M 15S
31,39,33M 2S
31,41,32M 32S
31,43,32M 8S
31,44,32M 8S
33,44,31M 19S
33,46,31M 7S
36,46,30M 44S
36,48,30M 22S
38,48,30M 10S
38,51,30M 2S
38,52,29M 11S
38,53,29M 11S
40,53,28M 54S
40,56,28M 38S
42,56,28M 14S
42,58,27M 59S
42,60,27M 22S
42,61,27M 22S
45,61,27M 5S
45,64,26M 53S
47,64,26M 42S
48,64,26M 42S
49,64,26M 23S
50,64,26M 23S
51,64,26M 7S
52,64,26M 7S
52,66,25M 57S
52,68,25M 19S
54,68,24M 32S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,70,22M 45S
56,70,21M 59S
56,73,21M 42S
58,73,21M 28S
58,76,21M 6S
61,76,20M 52S
63,76,20M 26S
63,78,20M 12S
64,78,19M 11S
65,78,19M 11S
67,78,19M 1S
67,80,18M 47S
67,83,18M 19S
68,83,17M 34S
70,83,17M 21S
71,83,16M 31S
71,85,15M 50S
74,85,15M 34S
74,86,15M 23S
74,87,15M 23S
76,87,15M 14S
76,88,14M 26S
76,89,14M 26S
78,89,14M 16S
78,91,13M 52S
79,91,13M 38S
80,91,13M 38S
81,91,13M 38S
81,92,13M 21S
81,93,13M 21S
83,93,12M 58S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,93,11M 31S
85,96,11M 19S
87,96,11M 2S
87,98,10M 43S
87,99,9M 57S
87,100,9M 57S
87,102,8M 55S
90,102,8M 2S
90,103,7M 47S
93,103,7M 10S
95,103,6M 45S
95,106,6M 30S
97,106,6M 13S
97,107,6M 2S
97,108,6M 2S
97,111,5M 44S
99,111,5M 32S
99,112,5M 19S
99,113,5M 19S
100,113,4M 54S
101,113,4M 54S
101,115,4M 41S
103,115,4M 29S
103,117,3M 55S
103,118,3M 55S
103,121,3M 27S
104,121,3M 11S
105,121,3M 11S
105,123,2M 58S
105,124,2M 27S
108,124,1M 48S
108,126,1M 11S
108,128,53S
108,129,31S
108,130,31S
End of 4th quarter,NA,0S
