Minnesota,Indiana,time_rem
13-39,23-27,48M 0S
0,0,47M 45S
2,0,47M 25S
2,2,46M 43S
5,2,46M 26S
5,3,46M 12S
5,4,46M 12S
6,4,46M 3S
7,4,45M 43S
7,6,45M 30S
9,6,44M 57S
9,9,44M 22S
11,9,44M 3S
11,11,43M 46S
11,13,43M 0S
11,15,42M 24S
12,15,42M 16S
13,15,42M 16S
15,15,41M 33S
17,15,41M 6S
17,17,40M 53S
19,17,40M 27S
20,17,40M 27S
20,19,40M 12S
22,19,39M 59S
22,21,39M 46S
22,24,39M 20S
22,25,38M 52S
25,25,38M 35S
25,26,38M 17S
25,27,38M 17S
25,28,38M 17S
27,28,38M 6S
29,28,37M 41S
31,28,37M 18S
31,29,37M 7S
31,30,37M 7S
31,32,36M 46S
31,34,36M 25S
31,35,36M 25S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,37,35M 32S
34,37,35M 14S
34,40,35M 6S
35,40,34M 44S
35,42,34M 31S
35,44,34M 14S
36,44,34M 1S
36,46,33M 48S
38,46,33M 21S
38,47,32M 51S
38,48,32M 51S
40,48,32M 35S
40,50,32M 22S
42,50,32M 8S
44,50,31M 54S
44,53,31M 44S
44,54,31M 13S
44,55,31M 13S
44,57,30M 36S
46,57,29M 57S
46,59,29M 27S
46,61,28M 47S
47,61,28M 29S
47,64,28M 18S
49,64,27M 59S
49,66,27M 33S
50,66,27M 21S
51,66,27M 21S
51,69,26M 59S
53,69,26M 16S
53,71,26M 1S
53,73,25M 47S
53,75,25M 11S
54,75,24M 59S
55,75,24M 32S
56,75,24M 32S
56,77,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,77,23M 26S
59,79,23M 10S
61,79,22M 59S
61,81,22M 49S
64,81,22M 7S
64,83,21M 49S
66,83,21M 36S
68,83,20M 48S
69,83,20M 48S
69,85,20M 30S
72,85,20M 22S
72,87,19M 34S
74,87,19M 18S
74,89,19M 2S
76,89,18M 50S
76,91,18M 37S
76,92,18M 37S
76,94,18M 8S
77,94,17M 55S
78,94,17M 55S
78,96,17M 40S
80,96,17M 10S
80,98,16M 59S
82,98,16M 46S
83,98,16M 46S
84,98,16M 22S
85,98,16M 22S
85,100,16M 11S
87,100,15M 29S
87,102,15M 13S
88,102,14M 57S
89,102,14M 57S
90,102,14M 20S
91,102,14M 20S
91,105,13M 59S
93,105,13M 38S
94,105,13M 12S
94,107,13M 0S
94,109,12M 43S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,112,11M 15S
97,112,10M 58S
99,112,10M 31S
101,112,10M 7S
103,112,9M 51S
105,112,9M 6S
105,115,8M 55S
105,118,8M 20S
107,118,7M 55S
108,118,7M 27S
110,118,6M 47S
110,120,6M 32S
112,120,6M 13S
112,123,5M 59S
114,123,5M 39S
116,123,5M 13S
117,123,5M 13S
117,125,4M 53S
120,125,4M 26S
120,128,4M 9S
122,128,3M 50S
125,128,3M 20S
125,131,2M 58S
127,131,2M 0S
127,133,1M 45S
127,135,1M 25S
128,135,1M 17S
129,135,1M 17S
131,135,50S
132,135,50S
132,138,25S
133,138,15S
134,138,15S
134,139,13S
137,139,10S
137,140,8S
137,141,8S
End of 4th quarter,NA,0S
