New Orleans,Houston,time_rem
22-27,13-36,48M 0S
0,0,47M 41S
0,3,47M 30S
1,3,46M 47S
1,6,46M 32S
2,6,45M 58S
3,6,45M 58S
5,6,45M 13S
8,6,44M 58S
11,6,44M 38S
11,7,44M 28S
13,7,44M 16S
13,9,43M 59S
16,9,43M 44S
16,11,43M 29S
17,11,43M 17S
20,11,42M 59S
23,11,42M 20S
23,14,42M 10S
23,16,41M 17S
25,16,40M 59S
27,16,40M 48S
28,16,40M 28S
28,19,39M 47S
28,20,39M 20S
30,20,38M 35S
30,23,38M 17S
32,23,38M 3S
33,23,38M 3S
33,25,37M 9S
35,25,37M 0S
35,27,36M 43S
38,27,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
40,27,35M 8S
40,29,34M 48S
40,32,34M 16S
40,35,33M 42S
42,35,33M 8S
44,35,32M 44S
45,35,32M 44S
45,37,32M 31S
47,37,31M 49S
47,39,31M 31S
48,39,31M 22S
49,39,31M 22S
49,42,30M 52S
51,42,30M 37S
51,43,29M 51S
51,44,29M 51S
51,46,29M 33S
51,47,29M 33S
52,47,29M 23S
53,47,29M 23S
54,47,28M 54S
55,47,28M 54S
57,47,28M 31S
58,47,27M 32S
58,48,27M 15S
61,48,26M 59S
61,50,26M 42S
63,50,26M 23S
63,52,25M 43S
63,53,25M 43S
65,53,25M 23S
67,53,25M 6S
67,54,24M 44S
67,56,24M 24S
70,56,24M 4S
70,59,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
70,62,23M 40S
70,64,23M 8S
73,64,22M 59S
73,66,21M 57S
76,66,21M 14S
76,69,20M 52S
78,69,20M 37S
78,71,20M 7S
81,71,19M 37S
81,73,18M 32S
81,74,17M 52S
81,75,17M 52S
81,77,17M 33S
81,80,17M 6S
83,80,16M 0S
83,82,15M 49S
86,82,15M 8S
86,83,14M 55S
87,83,14M 36S
88,83,14M 36S
89,83,14M 36S
89,84,14M 14S
89,85,13M 5S
89,86,13M 5S
89,89,12M 40S
89,92,12M 8S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
91,92,11M 32S
93,92,11M 4S
93,94,10M 42S
93,96,10M 4S
95,96,9M 39S
95,98,9M 20S
97,98,8M 54S
97,100,8M 10S
97,102,7M 35S
100,102,6M 53S
100,104,6M 34S
102,104,5M 56S
104,104,5M 26S
107,104,4M 35S
110,104,3M 17S
110,107,3M 7S
112,107,2M 58S
113,107,2M 48S
113,108,2M 33S
113,109,2M 33S
116,109,2M 20S
116,112,2M 4S
118,112,46S
118,113,41S
119,113,32S
119,115,26S
120,115,25S
121,115,7S
122,115,7S
End of 4th quarter,NA,0S
