New Orleans,Memphis,time_rem
12-15,11-12,48M 0S
0,0,47M 42S
0,2,47M 33S
2,2,46M 32S
2,4,45M 23S
4,4,45M 11S
4,6,44M 59S
6,6,44M 36S
6,8,44M 17S
9,8,44M 2S
9,10,43M 38S
12,10,43M 19S
12,12,43M 4S
12,15,42M 45S
12,17,42M 10S
12,18,41M 44S
12,19,41M 44S
14,19,41M 29S
14,21,41M 18S
17,21,41M 3S
17,23,40M 29S
17,25,39M 58S
17,27,39M 16S
19,27,38M 59S
19,30,38M 47S
20,30,38M 12S
21,30,38M 12S
23,30,36M 53S
24,30,36M 53S
24,31,36M 41S
24,32,36M 41S
26,32,36M 30S
27,32,36M 30S
29,32,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,32,35M 46S
31,34,35M 0S
33,34,34M 40S
33,35,33M 54S
33,36,33M 54S
35,36,33M 44S
35,38,33M 25S
37,38,33M 15S
37,39,32M 59S
37,40,32M 59S
37,43,32M 16S
37,45,31M 35S
39,45,31M 17S
39,48,30M 59S
41,48,30M 27S
42,48,30M 27S
44,48,30M 2S
46,48,29M 37S
49,48,27M 45S
51,48,26M 57S
51,50,26M 43S
54,50,26M 25S
55,50,26M 13S
58,50,25M 53S
58,53,25M 22S
61,53,25M 0S
61,56,24M 41S
63,56,24M 29S
63,58,24M 6S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
63,60,23M 38S
63,61,23M 38S
66,61,23M 20S
66,64,22M 39S
67,64,22M 5S
68,64,22M 5S
68,67,21M 46S
70,67,21M 23S
70,69,20M 23S
73,69,19M 50S
73,71,19M 28S
75,71,19M 17S
75,73,19M 10S
77,73,18M 45S
79,73,18M 0S
81,73,17M 8S
83,73,16M 40S
83,75,15M 25S
86,75,15M 8S
86,76,14M 44S
88,76,14M 29S
90,76,14M 3S
90,79,13M 50S
92,79,13M 37S
93,79,13M 12S
94,79,13M 12S
94,81,12M 59S
95,81,12M 51S
98,81,12M 43S
101,81,12M 25S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
101,83,11M 18S
104,83,11M 4S
104,86,10M 54S
106,86,10M 43S
107,86,10M 43S
109,86,10M 19S
109,88,10M 9S
109,90,9M 45S
109,91,9M 45S
112,91,9M 24S
112,93,9M 10S
114,93,8M 53S
114,95,8M 46S
114,96,8M 46S
117,96,8M 30S
117,99,7M 36S
119,99,6M 50S
120,99,6M 50S
120,101,6M 39S
122,101,6M 28S
122,104,6M 18S
124,104,6M 0S
127,104,5M 30S
129,104,4M 8S
131,104,2M 53S
131,106,2M 35S
134,106,2M 12S
134,107,2M 1S
134,108,2M 1S
136,108,1M 49S
136,109,1M 38S
136,110,1M 38S
139,110,1M 21S
142,110,1M 5S
144,110,33S
144,113,23S
End of 4th quarter,NA,0S
