New Orleans,Minnesota,time_rem
29-35,20-45,48M 0S
0,0,47M 35S
2,0,47M 17S
2,3,47M 4S
3,3,46M 53S
4,3,46M 53S
4,5,45M 44S
6,5,45M 38S
6,8,45M 20S
6,9,44M 58S
6,10,44M 58S
9,10,44M 44S
9,12,44M 10S
12,12,43M 37S
15,12,43M 9S
15,13,42M 38S
15,14,42M 38S
15,17,42M 11S
18,17,41M 13S
21,17,40M 49S
23,17,40M 13S
23,18,39M 54S
23,19,39M 54S
23,21,39M 36S
26,21,38M 57S
26,23,38M 46S
29,23,38M 31S
29,25,38M 22S
31,25,38M 1S
31,27,37M 40S
33,27,37M 28S
33,29,37M 2S
35,29,36M 51S
36,29,36M 51S
36,30,36M 41S
37,30,36M 18S
38,30,36M 18S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
39,30,35M 40S
40,30,35M 40S
40,32,35M 22S
42,32,35M 10S
42,34,34M 56S
42,37,34M 5S
43,37,33M 41S
44,37,33M 41S
44,39,33M 30S
46,39,33M 7S
46,41,32M 54S
49,41,32M 43S
49,43,32M 30S
50,43,32M 15S
51,43,31M 51S
52,43,31M 51S
54,43,31M 29S
56,43,31M 11S
56,45,30M 38S
56,48,29M 36S
56,49,29M 3S
56,50,29M 3S
56,52,28M 38S
56,53,28M 33S
56,54,28M 33S
57,54,28M 21S
59,54,27M 56S
59,56,27M 33S
59,59,26M 48S
59,60,26M 26S
59,61,26M 26S
61,61,25M 27S
61,62,25M 24S
63,62,24M 58S
65,62,24M 42S
65,65,24M 30S
Jump ball: K. Towns vs. J. Hayes (D. Russell gains possession),NA,24M 9S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
68,65,23M 21S
68,68,23M 11S
71,68,22M 56S
71,70,22M 20S
73,70,22M 10S
73,72,21M 41S
74,72,21M 39S
76,72,21M 34S
76,74,21M 26S
79,74,21M 8S
79,75,20M 43S
79,76,20M 43S
80,76,20M 35S
81,76,20M 35S
81,78,20M 18S
83,78,20M 4S
83,81,19M 52S
85,81,19M 4S
85,83,18M 20S
88,83,17M 59S
88,84,17M 42S
90,84,16M 44S
90,85,16M 29S
90,86,16M 29S
92,86,16M 16S
94,86,15M 43S
94,88,15M 6S
94,90,14M 43S
94,92,14M 19S
94,94,13M 46S
95,94,13M 32S
96,94,13M 32S
96,95,13M 21S
96,97,12M 46S
98,97,12M 9S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
98,100,11M 45S
101,100,11M 30S
101,103,10M 35S
103,103,10M 17S
103,106,10M 0S
105,106,9M 7S
105,107,8M 45S
107,107,8M 24S
107,108,8M 15S
107,109,8M 15S
107,111,8M 2S
107,114,7M 23S
107,117,5M 56S
109,117,4M 40S
109,119,4M 22S
110,119,3M 30S
111,119,3M 0S
112,119,3M 0S
113,119,2M 36S
114,119,2M 13S
115,119,2M 13S
115,120,2M 0S
115,121,2M 0S
117,121,1M 50S
119,121,1M 26S
121,121,1M 1S
121,123,38S
123,123,21S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: W. Hernangómez vs. K. Towns (D. Russell gains possession),NA,5M 0S
123,125,4M 47S
125,125,4M 29S
125,127,3M 15S
127,127,3M 1S
130,127,2M 33S
130,129,2M 17S
131,129,2M 2S
132,129,2M 2S
134,129,1M 38S
135,129,1M 38S
136,129,48S
137,129,32S
138,129,32S
138,131,22S
138,133,12S
139,133,11S
140,133,11S
140,136,3S
End of 1st overtime,NA,0S
