New Orleans,New York,time_rem
25-32,31-27,48M 0S
0,0,47M 43S
0,2,47M 17S
2,2,46M 34S
4,2,45M 23S
6,2,44M 45S
6,4,43M 54S
8,4,43M 35S
8,7,42M 49S
10,7,41M 48S
11,7,41M 48S
11,10,41M 33S
13,10,41M 11S
15,10,40M 43S
15,12,40M 22S
17,12,40M 9S
17,14,39M 30S
17,16,38M 57S
19,16,38M 40S
19,19,38M 0S
20,19,37M 26S
20,20,37M 7S
20,21,37M 7S
23,21,36M 32S
25,21,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,22,35M 50S
25,23,35M 50S
25,24,35M 50S
27,24,35M 30S
27,26,35M 14S
29,26,34M 38S
31,26,34M 14S
Jump ball: K. Knox vs. Z. Williamson (T. Gibson gains possession),NA,33M 53S
31,29,33M 46S
31,31,33M 16S
31,33,32M 42S
31,36,31M 16S
33,36,30M 56S
33,38,30M 39S
33,40,30M 4S
33,43,29M 49S
35,43,29M 23S
37,43,28M 50S
37,45,28M 36S
37,47,27M 59S
39,47,27M 45S
39,49,27M 38S
39,50,26M 37S
39,51,26M 37S
Jump ball: S. Adams vs. J. Randle (E. Bledsoe gains possession),NA,26M 20S
39,53,25M 53S
41,53,25M 39S
41,55,25M 12S
42,55,24M 57S
42,57,24M 30S
44,57,24M 21S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
47,57,23M 23S
47,59,23M 7S
49,59,23M 0S
50,59,23M 0S
52,59,22M 33S
54,59,22M 10S
55,59,22M 10S
57,59,21M 43S
57,61,21M 25S
59,61,21M 10S
59,63,20M 46S
60,63,20M 16S
60,65,20M 3S
62,65,19M 36S
64,65,18M 47S
64,67,18M 22S
Jump ball: B. Ingram vs. J. Randle (E. Payton gains possession),NA,17M 59S
66,67,17M 41S
66,68,17M 29S
66,69,17M 29S
69,69,17M 16S
69,71,16M 20S
72,71,16M 4S
72,73,15M 46S
73,73,15M 9S
74,73,14M 19S
75,73,14M 19S
75,75,14M 6S
75,77,13M 37S
76,77,13M 24S
77,77,13M 24S
77,78,13M 11S
77,79,13M 11S
79,79,12M 28S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,79,11M 41S
84,79,11M 13S
84,81,11M 0S
84,84,10M 1S
84,86,9M 25S
84,88,8M 18S
86,88,7M 51S
88,88,7M 28S
88,90,7M 15S
89,90,7M 0S
90,90,7M 0S
92,90,5M 48S
92,92,5M 25S
95,92,4M 41S
96,92,4M 7S
97,92,4M 7S
99,92,3M 44S
99,93,2M 50S
99,95,2M 2S
101,95,1M 48S
101,98,1M 30S
101,99,50S
101,100,50S
102,100,7S
103,100,7S
103,103,2S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: S. Adams vs. N. Noel (E. Bledsoe gains possession),NA,5M 0S
103,105,4M 37S
103,107,4M 5S
104,107,3M 50S
105,107,3M 50S
105,110,2M 47S
105,111,2M 11S
105,112,2M 11S
106,112,1M 49S
107,112,1M 49S
107,114,1M 30S
109,114,1M 19S
109,117,54S
109,118,37S
109,119,37S
110,119,30S
111,119,30S
112,119,30S
112,120,27S
112,121,25S
112,122,25S
End of 1st overtime,NA,0S
