New Orleans,Philadelphia,time_rem
30-37,46-21,48M 0S
0,3,47M 47S
0,5,47M 15S
2,5,46M 59S
2,7,46M 42S
4,7,46M 15S
4,9,46M 7S
4,11,43M 57S
7,11,43M 43S
9,11,43M 22S
10,11,43M 22S
10,13,43M 6S
10,15,42M 48S
13,15,42M 33S
13,17,41M 49S
13,18,41M 49S
15,18,41M 39S
15,20,41M 25S
15,22,40M 50S
15,23,40M 20S
15,24,40M 20S
15,25,39M 38S
15,26,39M 38S
16,26,39M 13S
17,26,39M 13S
19,26,38M 48S
19,27,38M 29S
19,28,38M 29S
19,29,36M 41S
19,30,36M 41S
21,30,36M 18S
21,32,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,32,35M 43S
22,34,35M 25S
23,34,35M 17S
24,34,35M 17S
26,34,34M 53S
26,37,34M 38S
28,37,34M 16S
28,39,34M 10S
28,42,33M 53S
30,42,33M 41S
32,42,33M 6S
33,42,33M 6S
33,45,32M 55S
35,45,32M 32S
35,48,31M 49S
37,48,31M 34S
39,48,31M 3S
41,48,30M 26S
43,48,29M 50S
44,48,29M 26S
46,48,29M 1S
46,49,28M 46S
46,50,28M 46S
46,52,27M 55S
47,52,27M 46S
47,55,27M 31S
49,55,27M 10S
49,58,26M 26S
50,58,26M 7S
51,58,26M 7S
51,59,25M 56S
51,60,25M 56S
51,62,25M 19S
51,65,25M 0S
53,65,24M 52S
53,67,24M 37S
53,68,24M 37S
53,70,24M 25S
54,70,24M 20S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,70,23M 44S
59,70,22M 32S
61,70,22M 20S
61,72,22M 0S
63,72,21M 36S
63,75,21M 25S
63,78,20M 56S
65,78,20M 40S
67,78,20M 16S
69,78,20M 0S
69,80,19M 37S
71,80,18M 51S
71,82,18M 28S
73,82,18M 1S
73,84,17M 12S
75,84,17M 3S
77,84,16M 36S
80,84,16M 15S
80,87,15M 40S
81,87,15M 24S
84,87,13M 35S
84,88,13M 15S
86,88,12M 55S
89,88,12M 27S
91,88,12M 14S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
92,88,11M 39S
92,90,11M 4S
95,90,9M 45S
95,91,9M 30S
98,91,8M 49S
98,94,8M 33S
101,94,8M 4S
101,97,7M 43S
101,100,7M 17S
101,102,6M 27S
102,102,4M 52S
103,102,4M 52S
103,104,4M 37S
105,104,4M 25S
107,104,1M 47S
107,105,1M 39S
107,106,1M 39S
107,109,1M 10S
Jump ball: J. Embiid vs. W. Hernangómez (D. Green gains possession),NA,19S
End of 4th quarter,NA,0S
