New Orleans,Toronto,time_rem
1-0,0-1,48M 0S
2,0,47M 43S
5,0,47M 22S
5,3,46M 43S
7,3,45M 15S
7,5,45M 5S
7,7,44M 45S
7,10,44M 23S
9,10,43M 57S
9,12,43M 31S
11,12,42M 46S
11,14,42M 33S
11,15,42M 7S
13,15,41M 55S
15,15,40M 55S
17,15,40M 25S
17,17,39M 45S
17,19,39M 15S
17,20,38M 28S
17,21,38M 28S
19,21,38M 7S
20,21,37M 41S
20,23,37M 17S
22,23,37M 0S
22,26,36M 50S
23,26,36M 37S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,28,35M 45S
23,30,35M 12S
25,30,34M 26S
25,33,34M 22S
28,33,34M 6S
31,33,33M 25S
31,36,32M 20S
31,39,31M 50S
34,39,31M 3S
37,39,29M 37S
38,39,29M 3S
38,40,28M 49S
38,43,28M 30S
41,43,28M 9S
41,46,27M 58S
42,46,27M 32S
42,49,27M 15S
44,49,26M 35S
44,52,26M 21S
44,55,25M 36S
47,55,24M 55S
47,57,24M 35S
50,57,24M 31S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
50,59,23M 49S
53,59,23M 28S
53,61,23M 7S
55,61,22M 49S
55,63,22M 8S
56,63,21M 54S
56,65,21M 33S
56,67,20M 59S
58,67,20M 39S
61,67,19M 49S
63,67,19M 29S
66,67,18M 57S
66,69,18M 44S
66,71,18M 0S
68,71,17M 27S
68,73,17M 13S
71,73,16M 45S
73,73,16M 13S
76,73,15M 53S
76,75,15M 14S
78,75,14M 56S
78,77,13M 50S
79,77,13M 26S
80,77,13M 26S
83,77,13M 3S
83,79,12M 50S
85,79,12M 29S
88,79,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,81,11M 42S
91,81,11M 27S
91,82,10M 53S
91,83,10M 53S
93,83,10M 40S
93,86,10M 30S
93,87,10M 8S
93,88,10M 8S
95,88,9M 17S
96,88,9M 17S
99,88,9M 4S
99,91,8M 45S
99,93,7M 51S
100,93,7M 38S
102,93,6M 35S
104,93,5M 47S
107,93,5M 16S
107,96,3M 42S
109,96,3M 26S
109,97,2M 11S
112,97,1M 16S
113,97,1M 16S
113,99,53S
End of 4th quarter,NA,0S
