New Orleans,Utah,time_rem
5-8,10-4,48M 0S
0,0,47M 40S
0,2,47M 31S
3,2,47M 1S
3,5,46M 6S
5,5,45M 40S
5,7,45M 21S
5,9,44M 48S
5,11,44M 31S
7,11,44M 9S
9,11,43M 20S
11,11,42M 50S
11,13,42M 27S
11,16,41M 59S
13,16,41M 41S
13,18,41M 20S
14,18,41M 15S
16,18,41M 12S
18,18,40M 33S
20,18,40M 9S
20,20,39M 40S
20,23,39M 5S
20,26,38M 5S
22,26,37M 43S
22,28,37M 36S
22,29,37M 36S
24,29,37M 25S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,31,35M 37S
26,31,35M 11S
26,34,34M 57S
26,36,34M 29S
29,36,33M 49S
30,36,33M 49S
32,36,33M 18S
32,39,33M 7S
34,39,32M 53S
34,41,32M 38S
36,41,32M 15S
36,44,31M 52S
36,46,31M 21S
38,46,31M 4S
40,46,30M 30S
42,46,29M 35S
44,46,29M 3S
45,46,29M 3S
47,46,27M 59S
47,49,27M 35S
Jump ball: B. Ingram vs. R. O'Neale (B. Ingram gains possession),NA,26M 20S
49,49,25M 49S
49,51,25M 33S
49,52,25M 33S
49,55,24M 27S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
49,57,23M 47S
51,57,22M 40S
51,60,22M 18S
53,60,21M 27S
53,63,21M 0S
53,66,20M 34S
53,67,20M 34S
55,67,20M 24S
55,70,20M 2S
55,73,19M 27S
57,73,18M 49S
58,73,18M 38S
58,76,18M 22S
60,76,18M 6S
63,76,17M 19S
63,78,16M 49S
65,78,16M 24S
65,80,15M 29S
66,80,15M 21S
67,80,15M 21S
67,82,15M 8S
69,82,13M 51S
69,84,13M 30S
69,85,13M 6S
69,88,12M 37S
69,91,12M 10S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
72,91,11M 29S
72,92,11M 5S
72,93,11M 5S
74,93,10M 46S
74,96,9M 41S
74,99,9M 21S
76,99,9M 8S
78,99,8M 49S
80,99,8M 4S
83,99,7M 40S
85,99,7M 23S
85,102,7M 9S
85,103,6M 36S
88,103,6M 7S
88,105,5M 48S
89,105,5M 36S
89,106,5M 25S
89,107,5M 25S
91,107,5M 13S
91,108,4M 58S
91,109,4M 58S
93,109,4M 41S
93,112,3M 54S
95,112,3M 39S
96,112,3M 39S
96,114,3M 29S
98,114,2M 43S
98,116,1M 50S
99,116,1M 49S
100,116,1M 49S
100,118,36S
102,118,22S
End of 4th quarter,NA,0S
