New Orleans,Washington,time_rem
25-31,22-33,48M 0S
2,0,47M 38S
3,0,47M 10S
4,0,47M 10S
4,2,46M 36S
6,2,46M 16S
6,3,45M 47S
6,5,45M 31S
8,5,45M 17S
11,5,44M 36S
11,7,44M 7S
13,7,43M 33S
13,9,43M 13S
13,11,42M 48S
15,11,42M 17S
15,13,42M 6S
17,13,41M 51S
17,14,41M 37S
17,15,41M 37S
17,17,40M 28S
19,17,40M 15S
19,19,39M 56S
22,19,39M 43S
22,21,39M 22S
24,21,39M 1S
24,23,38M 39S
24,25,38M 18S
26,25,38M 2S
26,27,37M 27S
26,28,37M 27S
26,30,37M 9S
29,30,36M 47S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,32,34M 53S
29,34,34M 23S
29,35,34M 23S
31,35,34M 8S
31,37,33M 49S
31,39,33M 11S
31,40,33M 11S
31,42,32M 43S
32,42,32M 30S
32,43,32M 10S
32,44,32M 10S
34,44,31M 52S
34,46,31M 47S
34,47,31M 47S
35,47,30M 55S
36,47,30M 33S
37,47,30M 33S
37,49,30M 15S
38,49,29M 46S
39,49,29M 46S
42,49,29M 22S
42,52,29M 7S
43,52,28M 50S
44,52,28M 50S
46,52,28M 24S
48,52,27M 54S
48,54,27M 37S
49,54,27M 29S
50,54,27M 29S
50,55,27M 20S
50,57,26M 51S
51,57,26M 35S
52,57,26M 35S
52,60,25M 55S
53,60,25M 48S
54,60,25M 48S
54,62,25M 9S
57,62,24M 54S
59,62,24M 34S
60,62,24M 11S
61,62,24M 11S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,64,23M 37S
62,64,22M 27S
63,64,22M 27S
63,66,22M 9S
63,68,21M 52S
65,68,21M 32S
67,68,21M 6S
67,70,20M 21S
69,70,20M 3S
69,72,19M 51S
71,72,19M 5S
73,72,18M 12S
75,72,17M 32S
78,72,16M 27S
80,72,16M 0S
80,74,15M 47S
82,74,15M 17S
82,75,15M 14S
82,76,15M 14S
84,76,14M 43S
84,78,14M 30S
84,79,14M 30S
85,79,14M 7S
86,79,14M 1S
87,79,14M 1S
87,81,13M 44S
87,82,13M 13S
87,84,12M 48S
89,84,12M 32S
89,86,12M 23S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
92,86,11M 35S
92,88,11M 17S
Jump ball: N. Marshall vs. D. Gafford (J. Johnson gains possession),NA,10M 3S
94,88,10M 0S
94,90,9M 48S
94,92,9M 19S
96,92,8M 31S
97,92,8M 7S
99,92,7M 21S
101,92,6M 58S
101,93,6M 45S
101,94,6M 45S
103,94,5M 57S
103,95,5M 27S
103,96,5M 27S
103,98,4M 27S
105,98,2M 15S
105,100,2M 4S
105,101,2M 4S
105,102,1M 32S
105,103,1M 32S
105,105,1M 7S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: S. Adams vs. D. Gafford (E. Bledsoe gains possession),NA,5M 0S
107,105,4M 41S
107,108,4M 17S
109,108,3M 23S
109,111,3M 4S
109,113,2M 41S
110,113,2M 26S
111,113,2M 26S
112,113,2M 8S
113,113,2M 8S
113,115,1M 36S
115,115,1M 24S
115,116,1S
115,117,1S
End of 1st overtime,NA,0S
