New York,Charlotte,time_rem
5-6,6-5,48M 0S
0,2,47M 36S
0,5,46M 37S
0,8,46M 3S
0,10,45M 0S
1,10,44M 29S
2,10,44M 29S
3,10,44M 29S
3,11,44M 10S
5,11,43M 46S
5,13,43M 37S
5,15,42M 49S
5,16,42M 25S
5,17,42M 25S
5,19,41M 59S
7,19,41M 30S
7,21,41M 10S
9,21,40M 50S
9,23,40M 41S
11,23,40M 26S
12,23,40M 26S
14,23,39M 57S
14,26,39M 36S
14,29,38M 58S
14,31,38M 33S
17,31,38M 16S
19,31,37M 51S
22,31,37M 24S
25,31,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,32,35M 25S
27,32,35M 9S
27,33,34M 50S
27,34,34M 50S
29,34,33M 25S
32,34,33M 0S
32,36,32M 39S
32,37,32M 39S
34,37,32M 14S
36,37,31M 54S
38,37,31M 23S
38,39,30M 12S
38,40,30M 12S
38,42,29M 30S
41,42,29M 9S
41,43,27M 34S
41,44,27M 34S
41,45,27M 34S
41,47,27M 3S
43,47,26M 38S
43,48,26M 30S
43,49,26M 30S
43,51,26M 18S
45,51,25M 32S
47,51,25M 15S
47,54,25M 4S
47,57,24M 30S
50,57,24M 9S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
50,59,22M 50S
53,59,22M 6S
53,60,21M 46S
53,61,21M 46S
55,61,21M 31S
55,63,21M 5S
57,63,20M 53S
57,66,20M 46S
59,66,20M 18S
59,68,19M 37S
59,70,19M 2S
60,70,18M 41S
60,72,18M 21S
61,72,17M 32S
62,72,17M 32S
62,74,16M 10S
65,74,14M 45S
67,74,13M 46S
67,75,13M 35S
67,77,13M 4S
67,79,12M 34S
68,79,12M 11S
68,82,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
68,84,11M 47S
70,84,10M 16S
70,86,9M 54S
72,86,9M 30S
72,89,9M 15S
73,89,8M 42S
75,89,8M 17S
77,89,7M 35S
77,92,7M 23S
77,95,6M 41S
77,96,6M 19S
78,96,6M 19S
79,96,6M 19S
79,97,5M 42S
79,98,5M 42S
81,98,5M 18S
81,101,3M 37S
84,101,3M 6S
86,101,2M 33S
86,103,2M 25S
88,103,1M 34S
88,105,1M 21S
88,106,1M 21S
88,109,45S
End of 4th quarter,NA,0S
