New York,Memphis,time_rem
37-28,32-32,48M 0S
0,0,47M 43S
0,2,47M 25S
0,4,47M 6S
0,6,45M 36S
3,6,44M 10S
5,6,43M 53S
7,6,43M 23S
7,7,43M 1S
7,9,42M 17S
9,9,41M 39S
10,9,41M 20S
11,9,41M 20S
11,12,41M 7S
13,12,40M 51S
13,14,40M 37S
14,14,39M 57S
16,14,39M 17S
16,15,39M 5S
18,15,38M 48S
19,15,38M 48S
19,17,38M 33S
19,18,37M 57S
19,19,37M 57S
22,19,37M 45S
22,22,37M 27S
25,22,37M 7S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,22,35M 44S
27,24,35M 28S
30,24,35M 13S
33,24,34M 50S
33,26,34M 37S
36,26,34M 21S
36,28,34M 6S
36,31,33M 15S
38,31,32M 58S
38,33,32M 37S
40,33,32M 17S
40,34,32M 4S
40,35,32M 4S
42,35,31M 34S
45,35,31M 2S
45,38,30M 49S
47,38,30M 29S
47,39,30M 16S
49,39,29M 57S
49,41,29M 36S
49,42,29M 36S
52,42,29M 24S
52,43,28M 33S
52,44,28M 33S
52,45,28M 2S
52,46,28M 2S
55,46,27M 38S
55,49,27M 23S
57,49,27M 5S
59,49,26M 40S
59,50,26M 23S
59,51,26M 23S
60,51,26M 11S
61,51,26M 11S
61,53,25M 51S
63,53,24M 57S
63,54,24M 38S
63,55,24M 38S
66,55,24M 28S
66,58,24M 9S
69,58,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
71,58,23M 34S
71,61,22M 59S
73,61,22M 32S
73,62,21M 46S
73,63,21M 46S
73,65,21M 31S
73,68,20M 50S
75,68,20M 35S
77,68,19M 49S
77,71,19M 3S
79,71,18M 17S
79,73,18M 7S
80,73,17M 45S
82,73,17M 11S
82,74,16M 58S
82,75,16M 58S
85,75,16M 45S
87,75,16M 30S
87,78,15M 46S
89,78,15M 15S
89,80,14M 55S
91,80,14M 29S
93,80,14M 1S
95,80,13M 37S
96,80,12M 47S
97,80,12M 47S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
97,83,11M 42S
97,86,11M 9S
99,86,10M 15S
99,88,10M 0S
Jump ball: T. Gibson vs. D. Brooks (J. Randle gains possession),NA,9M 39S
101,88,6M 49S
101,91,6M 35S
101,94,6M 2S
101,96,5M 28S
104,96,3M 58S
104,98,3M 34S
106,98,3M 16S
106,101,2M 11S
108,101,1M 46S
109,101,1M 20S
110,101,1M 20S
112,101,1M 10S
113,101,1M 2S
114,101,1M 2S
115,101,1M 2S
115,104,56S
118,104,36S
End of 4th quarter,NA,0S
