New York,Portland,time_rem
8-10,9-6,48M 0S
2,0,47M 37S
2,2,47M 19S
4,2,46M 57S
6,2,46M 17S
6,4,45M 55S
6,6,45M 32S
Jump ball: E. Freedom vs. M. Robinson (D. Jones gains possession),NA,45M 16S
6,7,45M 12S
6,8,45M 12S
6,10,44M 45S
8,10,44M 21S
8,13,44M 7S
11,13,43M 46S
11,16,43M 29S
11,19,42M 51S
11,21,42M 12S
14,21,41M 51S
14,23,41M 36S
14,24,41M 36S
15,24,40M 34S
16,24,40M 34S
16,26,40M 18S
18,26,40M 5S
18,29,39M 40S
18,31,39M 20S
19,31,38M 55S
20,31,38M 55S
20,32,38M 46S
20,33,38M 46S
20,34,38M 46S
22,34,38M 25S
24,34,37M 55S
24,36,37M 15S
24,37,37M 15S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,40,35M 44S
24,43,35M 16S
26,43,34M 19S
26,45,33M 38S
27,45,32M 31S
28,45,32M 31S
28,48,32M 14S
30,48,32M 0S
30,51,31M 46S
33,51,31M 13S
33,54,30M 22S
35,54,30M 0S
35,57,29M 44S
37,57,29M 28S
37,59,29M 13S
40,59,29M 0S
43,59,28M 10S
44,59,26M 48S
45,59,26M 48S
45,60,26M 29S
45,62,26M 25S
48,62,26M 1S
48,65,25M 44S
48,68,25M 6S
50,68,24M 47S
50,70,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
50,72,23M 43S
52,72,23M 15S
52,75,22M 59S
52,77,22M 12S
55,77,21M 53S
57,77,21M 23S
58,77,20M 9S
58,78,19M 53S
59,78,19M 44S
59,80,19M 10S
62,80,18M 56S
65,80,18M 33S
65,81,17M 54S
65,82,17M 54S
67,82,17M 36S
69,82,17M 10S
69,84,16M 23S
69,87,14M 29S
70,87,14M 11S
71,87,14M 11S
73,87,13M 38S
73,89,13M 26S
75,89,13M 9S
77,89,12M 14S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,89,11M 36S
79,91,10M 15S
81,91,9M 49S
81,94,9M 21S
84,94,9M 3S
85,94,8M 28S
86,94,8M 28S
86,96,8M 8S
88,96,7M 35S
91,96,7M 13S
91,98,6M 21S
91,101,5M 57S
91,104,4M 26S
94,104,4M 8S
Jump ball: E. Freedom vs. J. Randle (R. Covington gains possession),NA,3M 33S
94,106,3M 11S
95,106,2M 57S
96,106,2M 57S
98,106,2M 39S
99,106,2M 5S
100,106,1M 33S
101,106,1M 33S
102,106,1M 33S
Jump ball: E. Freedom vs. J. Randle (D. Lillard gains possession),NA,48S
102,107,30S
102,108,30S
104,108,26S
104,109,25S
104,110,25S
106,110,19S
106,111,17S
106,112,17S
107,112,16S
108,112,16S
109,112,16S
109,113,16S
109,114,16S
111,114,10S
111,115,5S
111,116,5S
113,116,0S
End of 4th quarter,NA,0S
