Oklahoma City,Atlanta,time_rem
17-24,21-20,48M 0S
0,0,47M 34S
0,2,47M 27S
3,2,47M 15S
3,4,46M 22S
3,7,45M 32S
6,7,44M 58S
6,9,43M 56S
6,11,43M 39S
6,13,43M 21S
6,15,42M 17S
6,17,41M 38S
6,19,41M 13S
7,19,41M 3S
8,19,41M 3S
8,22,40M 22S
8,25,40M 5S
11,25,39M 46S
11,27,39M 27S
14,27,39M 10S
14,28,38M 51S
17,28,38M 14S
19,28,37M 44S
19,31,37M 30S
20,31,36M 17S
21,31,36M 17S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
21,33,34M 55S
21,35,34M 38S
23,35,34M 28S
23,36,34M 8S
23,37,34M 8S
26,37,33M 52S
26,39,33M 17S
26,40,32M 15S
26,41,32M 15S
28,41,31M 27S
28,42,31M 10S
28,43,31M 10S
31,43,30M 55S
31,45,30M 42S
33,45,30M 34S
33,47,30M 18S
35,47,29M 47S
35,49,29M 31S
36,49,29M 17S
37,49,29M 17S
37,52,28M 49S
37,54,27M 32S
39,54,26M 45S
39,57,26M 28S
39,58,26M 9S
39,59,26M 9S
39,61,25M 26S
41,61,24M 32S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
41,63,23M 47S
43,63,23M 11S
45,63,22M 45S
45,65,22M 26S
45,68,21M 54S
46,68,21M 34S
47,68,21M 34S
48,68,21M 34S
48,70,21M 6S
48,72,20M 34S
51,72,20M 14S
51,74,19M 43S
53,74,19M 36S
56,74,18M 14S
58,74,17M 44S
58,77,17M 26S
58,78,16M 34S
58,79,16M 34S
60,79,16M 24S
62,79,15M 40S
62,81,15M 27S
64,81,14M 41S
64,84,14M 29S
64,86,13M 53S
64,88,13M 21S
64,91,12M 52S
67,91,12M 29S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
69,91,11M 36S
69,93,10M 36S
71,93,9M 40S
71,95,8M 55S
74,95,8M 32S
74,97,8M 14S
77,97,8M 3S
77,99,7M 51S
78,99,7M 43S
79,99,7M 43S
79,101,7M 26S
79,103,6M 42S
81,103,5M 50S
83,103,5M 11S
83,106,5M 0S
86,106,4M 45S
86,108,4M 21S
88,108,3M 47S
88,110,3M 30S
88,112,2M 53S
90,112,2M 37S
90,114,2M 20S
91,114,2M 5S
93,114,1M 19S
93,116,1M 6S
End of 4th quarter,NA,0S
