Oklahoma City,Denver,time_rem
6-7,7-7,48M 0S
Jump ball: N. Jokić vs. I. Roby (P. Millsap gains possession),NA,47M 48S
0,2,47M 42S
3,2,47M 28S
5,2,46M 30S
5,4,46M 7S
7,4,45M 55S
8,4,45M 55S
8,6,45M 35S
11,6,45M 23S
11,8,45M 4S
11,10,44M 47S
11,13,44M 19S
13,13,43M 50S
15,13,43M 20S
15,16,43M 7S
15,18,41M 38S
17,18,41M 20S
18,18,40M 38S
19,18,40M 38S
19,19,40M 9S
19,20,40M 9S
21,20,39M 55S
21,22,39M 35S
21,23,39M 35S
24,23,39M 24S
26,23,38M 54S
29,23,38M 27S
31,23,38M 3S
31,25,37M 18S
31,28,36M 34S
31,29,36M 2S
31,30,36M 2S
31,31,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,32,35M 3S
31,33,35M 3S
31,36,34M 41S
31,38,33M 49S
33,38,33M 30S
34,38,33M 30S
34,40,33M 18S
37,40,33M 7S
38,40,32M 3S
38,42,31M 36S
38,44,31M 11S
38,46,30M 1S
41,46,29M 16S
41,48,28M 59S
44,48,28M 48S
44,49,28M 16S
45,49,27M 9S
46,49,27M 9S
46,51,26M 38S
49,51,26M 23S
49,54,26M 4S
49,55,26M 3S
49,58,25M 46S
49,61,25M 15S
52,61,24M 55S
52,63,24M 41S
52,65,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,67,23M 34S
53,67,22M 49S
54,67,21M 58S
54,70,21M 44S
56,70,20M 52S
56,72,20M 41S
56,75,20M 10S
58,75,19M 17S
60,75,18M 40S
62,75,18M 23S
62,77,17M 56S
64,77,17M 40S
64,79,17M 25S
64,81,16M 47S
64,83,16M 9S
67,83,15M 51S
67,86,15M 31S
67,88,15M 15S
69,88,15M 2S
69,90,14M 43S
69,92,13M 40S
71,92,13M 28S
71,95,13M 13S
71,97,12M 55S
74,97,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
74,100,11M 42S
75,100,11M 25S
75,102,10M 36S
77,102,10M 20S
79,102,10M 1S
79,105,9M 26S
82,105,9M 12S
82,107,8M 58S
82,108,8M 58S
82,110,8M 42S
84,110,8M 10S
84,113,6M 38S
87,113,4M 52S
88,113,4M 31S
89,113,4M 31S
89,114,4M 21S
89,115,4M 21S
92,115,4M 8S
94,115,3M 21S
96,115,3M 0S
96,117,2M 22S
97,117,1M 45S
97,119,1M 35S
98,119,45S
99,119,45S
101,119,25S
End of 4th quarter,NA,0S
