Oklahoma City,Golden State,time_rem
21-46,34-33,48M 0S
0,0,47M 41S
0,2,46M 51S
2,2,46M 42S
2,5,46M 29S
2,7,45M 52S
4,7,44M 59S
4,9,44M 51S
6,9,44M 14S
8,9,43M 48S
8,12,43M 8S
10,12,42M 19S
10,14,42M 7S
12,14,41M 27S
12,17,41M 9S
12,19,40M 46S
12,22,40M 12S
15,22,39M 52S
15,23,39M 15S
15,24,39M 15S
15,26,38M 47S
17,26,38M 30S
17,29,38M 19S
18,29,38M 1S
19,29,38M 1S
19,31,37M 50S
21,31,37M 14S
23,31,36M 54S
24,31,36M 17S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,31,35M 16S
26,34,34M 22S
26,35,33M 38S
26,36,33M 38S
28,36,33M 21S
28,38,33M 5S
30,38,31M 51S
30,40,31M 37S
30,42,31M 1S
33,42,30M 44S
34,42,29M 53S
35,42,29M 53S
35,44,29M 42S
38,44,29M 25S
40,44,28M 55S
40,45,28M 48S
40,46,28M 48S
40,48,28M 8S
40,50,27M 28S
42,50,27M 9S
42,51,26M 59S
42,52,26M 59S
42,53,26M 59S
42,56,26M 20S
42,59,25M 50S
43,59,25M 27S
44,59,25M 27S
45,59,25M 16S
46,59,25M 16S
46,61,24M 57S
49,61,24M 45S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
49,63,22M 9S
51,63,21M 53S
51,66,20M 50S
54,66,20M 40S
54,68,20M 13S
56,68,19M 54S
57,68,19M 54S
60,68,19M 3S
60,70,18M 35S
61,70,18M 17S
62,70,18M 17S
64,70,17M 22S
64,72,17M 7S
64,75,16M 45S
66,75,16M 18S
66,78,16M 0S
66,79,15M 4S
68,79,14M 46S
68,82,14M 31S
70,82,14M 9S
72,82,13M 48S
72,85,12M 57S
72,86,12M 57S
72,88,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
74,88,11M 31S
74,91,10M 46S
74,93,10M 14S
77,93,9M 29S
79,93,8M 46S
79,96,8M 29S
79,98,8M 1S
80,98,7M 42S
81,98,7M 42S
81,99,6M 21S
81,100,6M 21S
83,100,5M 37S
83,103,5M 18S
83,106,4M 52S
83,108,4M 12S
86,108,3M 49S
88,108,3M 14S
91,108,2M 46S
91,111,2M 33S
93,111,1M 48S
95,111,1M 22S
95,112,1M 11S
95,113,1M 11S
95,116,50S
95,118,25S
96,118,3S
97,118,3S
End of 4th quarter,NA,0S
