Oklahoma City,Minnesota,time_rem
19-24,10-33,48M 0S
0,3,47M 49S
2,3,47M 34S
2,5,47M 21S
2,8,46M 11S
2,10,45M 37S
5,10,45M 14S
7,10,44M 44S
7,12,44M 35S
9,12,44M 13S
12,12,43M 35S
14,12,41M 29S
16,12,40M 37S
16,14,39M 52S
19,14,39M 31S
19,16,38M 55S
19,17,37M 38S
21,17,37M 19S
23,17,36M 53S
23,20,36M 47S
23,21,36M 26S
23,22,36M 26S
25,22,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,22,35M 46S
28,24,35M 7S
30,24,34M 0S
30,27,33M 36S
30,29,33M 17S
32,29,32M 56S
34,29,32M 36S
34,31,32M 22S
37,31,32M 9S
37,33,31M 53S
37,35,31M 26S
38,35,30M 41S
39,35,30M 41S
39,36,30M 26S
39,37,30M 26S
41,37,30M 11S
44,37,29M 35S
44,40,29M 25S
44,43,28M 52S
47,43,27M 37S
47,46,27M 14S
50,46,26M 38S
50,48,26M 24S
50,50,25M 53S
51,50,25M 43S
52,50,25M 43S
Jump ball: K. Towns vs. I. Roby (R. Rubio gains possession),NA,25M 24S
54,50,24M 46S
57,50,24M 23S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,50,23M 14S
59,53,23M 2S
59,55,21M 34S
59,58,19M 47S
59,60,19M 24S
62,60,19M 13S
62,62,18M 53S
65,62,18M 33S
68,62,17M 32S
70,62,16M 52S
73,62,16M 17S
73,64,15M 57S
73,65,15M 57S
73,68,15M 22S
73,70,14M 53S
75,70,14M 6S
75,72,13M 57S
75,74,13M 22S
78,74,13M 4S
80,74,12M 32S
80,75,12M 11S
80,76,12M 11S
83,76,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
83,77,11M 35S
83,79,11M 7S
85,79,10M 38S
85,81,10M 15S
86,81,10M 4S
87,81,10M 4S
90,81,9M 36S
93,81,9M 6S
96,81,8M 39S
98,81,7M 54S
98,83,7M 42S
101,83,6M 55S
101,85,6M 38S
101,88,5M 46S
101,89,5M 46S
104,89,5M 30S
104,90,5M 21S
107,90,5M 8S
107,93,4M 58S
107,95,3M 36S
107,98,3M 1S
109,98,2M 32S
109,101,2M 19S
109,102,1M 13S
109,103,1M 13S
110,103,32S
111,103,26S
112,103,26S
End of 4th quarter,NA,0S
