Oklahoma City,Phoenix,time_rem
20-28,34-14,48M 0S
0,2,47M 53S
3,2,47M 37S
3,5,47M 16S
4,5,46M 45S
5,5,46M 45S
5,7,46M 35S
5,9,46M 15S
5,11,45M 49S
5,14,44M 29S
5,17,44M 8S
5,20,43M 37S
5,22,42M 46S
5,24,41M 36S
7,24,41M 11S
7,26,40M 38S
7,27,40M 12S
7,30,39M 41S
8,30,39M 2S
9,30,39M 2S
9,33,38M 46S
9,35,38M 14S
9,36,37M 30S
9,37,37M 30S
11,37,37M 8S
11,38,36M 55S
11,39,36M 55S
13,39,36M 33S
13,41,36M 17S
13,42,36M 2S
13,43,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
13,45,35M 42S
16,45,35M 18S
19,45,33M 59S
19,47,33M 40S
19,49,33M 8S
21,49,32M 52S
21,51,32M 39S
24,51,32M 17S
24,53,32M 1S
24,54,31M 20S
24,56,31M 4S
27,56,30M 21S
30,56,29M 32S
30,57,29M 13S
30,58,29M 13S
33,58,28M 53S
33,60,28M 40S
34,60,28M 28S
37,60,27M 54S
37,62,27M 37S
37,64,27M 16S
38,64,27M 1S
40,64,26M 32S
42,64,26M 9S
42,65,25M 53S
42,66,25M 53S
44,66,25M 41S
47,66,25M 1S
47,68,24M 51S
50,68,24M 33S
50,70,24M 28S
50,72,24M 2S
50,73,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,73,23M 21S
52,76,23M 3S
52,78,22M 41S
53,78,22M 11S
56,78,21M 40S
58,78,21M 9S
58,80,20M 54S
60,80,20M 42S
60,82,20M 26S
62,82,20M 3S
64,82,19M 30S
64,84,18M 54S
64,85,18M 54S
64,87,18M 28S
65,87,18M 19S
65,89,18M 9S
66,89,17M 3S
67,89,17M 3S
69,89,16M 36S
69,91,16M 25S
69,93,16M 2S
69,96,14M 43S
71,96,14M 29S
72,96,14M 29S
72,99,14M 11S
74,99,13M 51S
76,99,13M 27S
76,101,13M 6S
76,103,12M 23S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
76,105,11M 45S
76,107,11M 15S
76,110,10M 26S
79,110,9M 47S
80,110,9M 23S
81,110,9M 23S
81,112,9M 8S
82,112,8M 55S
84,112,8M 28S
84,114,8M 14S
86,114,7M 58S
86,116,7M 41S
86,118,7M 20S
89,118,6M 44S
89,121,6M 22S
90,121,5M 59S
91,121,5M 59S
91,122,4M 48S
92,122,4M 35S
93,122,4M 35S
93,124,4M 8S
95,124,3M 26S
95,125,3M 7S
95,126,3M 7S
98,126,2M 51S
98,129,2M 32S
101,129,2M 18S
101,132,1M 59S
101,135,1M 28S
101,138,1M 2S
103,138,36S
103,140,20S
End of 4th quarter,NA,0S
