Oklahoma City,San Antonio,time_rem
15-21,18-14,48M 0S
0,0,47M 44S
3,0,46M 59S
3,2,46M 46S
5,2,46M 32S
5,5,46M 16S
5,7,45M 46S
8,7,45M 31S
8,9,44M 50S
11,9,44M 33S
13,9,44M 14S
13,11,44M 2S
16,11,43M 30S
16,14,43M 10S
16,16,42M 9S
18,16,41M 37S
18,17,39M 20S
18,18,39M 20S
18,20,38M 51S
21,20,38M 34S
23,20,37M 54S
23,22,37M 35S
26,22,37M 25S
26,24,36M 42S
27,24,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,26,35M 46S
27,28,35M 34S
29,28,35M 21S
29,30,35M 5S
29,32,34M 3S
29,34,33M 40S
30,34,33M 28S
31,34,33M 28S
31,36,32M 49S
33,36,32M 34S
33,39,31M 55S
33,42,30M 51S
33,44,30M 29S
34,44,28M 52S
35,44,28M 52S
35,46,28M 29S
37,46,28M 19S
40,46,27M 53S
40,48,27M 29S
42,48,27M 13S
42,50,26M 27S
44,50,26M 12S
45,50,26M 12S
45,51,26M 0S
45,52,26M 0S
45,55,25M 28S
45,56,25M 8S
45,57,25M 8S
46,57,25M 4S
47,57,25M 4S
48,57,24M 48S
48,58,24M 36S
48,59,24M 36S
49,59,24M 27S
50,59,24M 27S
50,61,24M 6S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
50,64,23M 49S
52,64,23M 26S
54,64,22M 58S
54,66,22M 23S
56,66,21M 58S
56,68,21M 40S
59,68,21M 17S
61,68,20M 42S
62,68,20M 42S
62,70,19M 53S
63,70,19M 17S
64,70,19M 17S
66,70,18M 56S
68,70,18M 0S
71,70,17M 39S
73,70,17M 1S
73,72,16M 44S
73,75,16M 15S
73,78,15M 47S
75,78,15M 26S
75,80,15M 13S
77,80,14M 19S
78,80,13M 52S
79,80,13M 52S
79,82,12M 41S
81,82,12M 29S
81,83,12M 4S
81,84,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,87,11M 35S
Jump ball: K. Johnson vs. M. Muscala (L. Šamanić gains possession),NA,10M 53S
83,87,9M 33S
86,87,9M 2S
88,87,8M 32S
88,89,7M 46S
90,89,6M 57S
93,89,6M 19S
95,89,5M 45S
95,91,5M 32S
97,91,4M 40S
97,93,4M 16S
97,94,3M 53S
97,95,3M 53S
99,95,3M 6S
99,97,2M 42S
102,97,2M 15S
103,97,1M 41S
103,99,1M 13S
104,99,23S
105,99,23S
106,99,12S
107,99,12S
107,102,8S
End of 4th quarter,NA,0S
