Oklahoma City,Toronto,time_rem
20-37,24-34,48M 0S
0,3,47M 35S
3,3,46M 44S
5,3,46M 18S
6,3,46M 0S
6,5,45M 45S
9,5,45M 37S
10,5,45M 4S
10,8,43M 30S
10,11,42M 39S
12,11,42M 25S
12,13,42M 11S
15,13,41M 37S
15,16,41M 22S
17,16,40M 34S
17,17,40M 20S
17,18,40M 20S
20,18,40M 10S
20,21,39M 57S
21,21,39M 45S
24,21,39M 23S
24,23,39M 0S
27,23,37M 32S
29,23,37M 0S
29,24,36M 52S
29,25,36M 52S
31,25,36M 28S
31,28,36M 10S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,30,35M 19S
34,30,35M 14S
37,30,34M 29S
40,30,34M 7S
40,31,33M 26S
40,32,33M 26S
42,32,33M 6S
44,32,32M 46S
44,33,30M 54S
44,34,30M 54S
46,34,30M 28S
46,36,29M 30S
48,36,29M 21S
48,38,28M 42S
49,38,28M 31S
50,38,28M 31S
50,40,28M 15S
51,40,28M 4S
51,42,27M 47S
51,43,27M 20S
51,44,27M 20S
51,47,26M 55S
53,47,26M 33S
54,47,25M 23S
55,47,25M 23S
55,49,25M 9S
57,49,24M 56S
58,49,24M 39S
59,49,24M 39S
59,52,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,52,23M 41S
62,55,23M 22S
62,58,22M 58S
64,58,22M 44S
64,61,20M 46S
66,61,20M 32S
67,61,20M 32S
67,63,20M 21S
67,64,19M 18S
67,66,18M 56S
69,66,18M 44S
69,68,18M 13S
71,68,17M 18S
71,70,16M 47S
73,70,16M 27S
73,72,15M 59S
73,73,15M 16S
73,74,15M 16S
75,74,14M 55S
75,76,14M 13S
78,76,13M 42S
78,78,13M 25S
78,79,13M 25S
79,79,13M 9S
80,79,13M 9S
80,81,12M 58S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
80,83,11M 43S
81,83,11M 15S
82,83,11M 15S
82,84,10M 21S
82,85,10M 21S
85,85,10M 5S
85,88,9M 40S
87,88,9M 21S
90,88,8M 53S
92,88,8M 2S
92,91,7M 44S
95,91,7M 29S
95,93,6M 47S
95,96,5M 52S
97,96,5M 36S
97,99,5M 23S
99,99,5M 5S
101,99,4M 8S
102,99,4M 8S
102,100,3M 56S
102,101,2M 51S
102,102,2M 51S
102,105,2M 27S
102,107,1M 59S
103,107,33S
104,107,33S
104,110,11S
106,110,7S
106,111,6S
106,112,6S
End of 4th quarter,NA,0S
