Orlando,Atlanta,time_rem
21-49,40-31,48M 0S
0,0,47M 41S
3,0,47M 35S
3,2,47M 19S
5,2,47M 9S
5,4,46M 57S
5,6,46M 32S
5,8,44M 59S
5,9,44M 59S
5,10,44M 40S
5,11,44M 40S
8,11,44M 25S
8,13,44M 9S
10,13,43M 11S
12,13,42M 15S
12,15,41M 54S
12,17,40M 50S
12,18,40M 32S
14,18,40M 19S
14,21,39M 39S
14,22,39M 8S
14,23,39M 8S
14,24,39M 8S
Jump ball: O. Okongwu vs. I. Brazdeikis (L. Williams gains possession),NA,38M 31S
16,24,38M 15S
16,26,37M 22S
16,29,36M 36S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
19,29,35M 11S
22,29,34M 41S
24,29,33M 49S
24,31,33M 2S
24,33,32M 23S
27,33,32M 8S
27,35,31M 4S
29,35,30M 46S
29,38,30M 18S
29,40,29M 53S
32,40,29M 15S
32,42,29M 0S
32,44,28M 8S
34,44,27M 55S
34,47,27M 1S
35,47,26M 47S
35,49,26M 33S
36,49,26M 19S
37,49,26M 19S
37,51,26M 8S
37,53,25M 28S
39,53,25M 13S
39,56,24M 52S
41,56,24M 36S
41,57,24M 29S
41,58,24M 29S
41,59,24M 29S
41,60,24M 3S
41,61,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
41,63,23M 47S
43,63,23M 16S
45,63,22M 57S
45,65,22M 45S
47,65,22M 10S
48,65,21M 15S
48,68,21M 4S
49,68,20M 47S
51,68,20M 10S
51,71,19M 55S
53,71,19M 34S
53,72,19M 23S
53,73,19M 23S
53,75,18M 34S
55,75,18M 11S
55,78,17M 40S
55,81,17M 15S
55,83,16M 45S
55,84,16M 29S
55,85,16M 29S
56,85,15M 58S
58,85,15M 33S
58,88,15M 15S
60,88,14M 57S
63,88,14M 28S
65,88,13M 52S
65,90,13M 35S
67,90,13M 16S
67,91,13M 2S
69,91,12M 39S
70,91,12M 26S
71,91,12M 26S
71,92,12M 16S
71,93,12M 16S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
71,95,9M 31S
74,95,9M 19S
74,97,9M 6S
77,97,8M 22S
77,100,8M 0S
77,103,7M 20S
80,103,6M 29S
82,103,6M 3S
82,105,5M 55S
83,105,5M 17S
83,106,3M 35S
85,106,3M 24S
85,109,2M 58S
85,112,2M 24S
85,114,2M 0S
87,114,1M 37S
90,114,1M 2S
91,114,43S
91,116,35S
93,116,24S
End of 4th quarter,NA,0S
