Orlando,Brooklyn,time_rem
6-7,8-6,48M 0S
0,2,47M 43S
0,3,47M 43S
0,4,47M 22S
0,5,47M 22S
2,5,47M 15S
5,5,46M 54S
7,5,46M 23S
9,5,44M 46S
9,6,44M 20S
9,7,44M 20S
10,7,43M 46S
11,7,43M 46S
12,7,43M 19S
12,9,43M 9S
12,10,43M 9S
12,13,42M 44S
14,13,42M 21S
14,16,42M 5S
17,16,41M 24S
17,18,41M 12S
17,19,40M 46S
17,20,40M 46S
19,20,40M 11S
21,20,39M 44S
21,23,39M 22S
22,23,38M 58S
22,25,38M 43S
22,27,37M 48S
Jump ball: A. Gordon vs. B. Brown (K. Birch gains possession),NA,37M 26S
24,27,37M 16S
26,27,36M 54S
26,28,36M 6S
26,29,36M 6S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,29,35M 38S
31,29,35M 3S
33,29,34M 21S
33,31,34M 6S
35,31,33M 48S
35,33,33M 6S
36,33,32M 57S
36,36,31M 52S
38,36,31M 24S
38,39,31M 5S
38,42,30M 13S
41,42,29M 46S
41,44,28M 13S
43,44,27M 50S
43,46,27M 33S
43,48,26M 31S
43,50,25M 58S
46,50,25M 42S
46,52,25M 10S
48,52,24M 54S
49,52,24M 28S
50,52,24M 28S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,52,22M 50S
55,52,22M 25S
55,55,21M 22S
58,55,21M 4S
58,57,20M 56S
60,57,20M 44S
60,59,20M 36S
60,61,20M 15S
62,61,19M 23S
64,61,18M 40S
64,63,18M 28S
66,63,18M 5S
66,66,17M 59S
68,66,17M 44S
71,66,16M 57S
71,68,16M 26S
73,68,16M 16S
73,71,16M 2S
76,71,15M 46S
76,74,15M 35S
79,74,15M 22S
79,76,14M 50S
79,77,13M 52S
79,78,13M 25S
79,79,13M 25S
79,81,12M 57S
80,81,12M 41S
81,81,12M 41S
81,84,12M 34S
83,84,12M 16S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
83,86,11M 48S
85,86,11M 28S
85,88,11M 16S
85,90,10M 54S
88,90,10M 38S
88,93,9M 42S
88,96,9M 1S
91,96,8M 40S
91,98,8M 21S
93,98,8M 6S
96,98,7M 34S
96,100,7M 18S
98,100,6M 57S
98,102,6M 38S
98,105,6M 11S
100,105,5M 52S
102,105,5M 31S
102,107,5M 2S
104,107,4M 45S
104,110,4M 35S
107,110,3M 41S
107,111,2M 53S
107,112,2M 53S
107,113,2M 22S
107,114,2M 22S
107,117,1M 39S
108,117,1M 33S
109,117,1M 33S
109,118,1M 4S
109,119,1M 4S
111,119,53S
111,120,32S
113,120,22S
114,120,8S
115,120,8S
115,121,8S
115,122,8S
End of 4th quarter,NA,0S
