Orlando,Indiana,time_rem
7-9,9-6,48M 0S
0,0,47M 40S
3,0,47M 33S
3,3,47M 21S
3,5,46M 58S
6,5,46M 45S
9,5,46M 14S
11,5,45M 43S
11,7,45M 29S
14,7,45M 8S
14,9,44M 53S
17,9,44M 39S
17,12,44M 27S
17,14,43M 54S
17,15,43M 54S
17,18,43M 35S
17,20,42M 41S
17,22,42M 10S
19,22,41M 28S
19,24,41M 5S
19,27,40M 40S
19,29,40M 30S
21,29,40M 12S
21,30,39M 45S
21,31,39M 45S
21,33,39M 17S
23,33,38M 55S
24,33,37M 59S
24,34,36M 47S
24,35,36M 47S
25,35,36M 36S
28,35,36M 14S
28,37,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,37,35M 36S
30,37,35M 36S
31,37,34M 54S
32,37,34M 54S
34,37,34M 19S
34,38,34M 5S
34,39,34M 5S
36,39,33M 24S
36,42,32M 59S
38,42,32M 37S
38,44,32M 29S
41,44,31M 47S
41,45,31M 31S
42,45,31M 18S
45,45,31M 10S
47,45,30M 35S
49,45,30M 7S
49,47,29M 47S
51,47,29M 29S
51,50,28M 52S
51,53,27M 56S
53,53,27M 32S
53,55,27M 8S
53,56,26M 45S
53,57,26M 45S
55,57,26M 24S
58,57,25M 16S
60,57,24M 46S
60,59,24M 34S
60,62,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,62,23M 46S
63,62,23M 14S
64,62,23M 14S
66,62,22M 17S
66,65,22M 3S
67,65,21M 45S
68,65,21M 45S
70,65,21M 9S
70,66,20M 42S
70,67,20M 42S
70,70,19M 43S
70,72,19M 21S
71,72,18M 32S
74,72,18M 0S
74,74,17M 36S
74,76,16M 28S
77,76,16M 11S
77,78,15M 3S
77,79,15M 3S
77,81,14M 38S
77,83,14M 7S
79,83,13M 50S
79,86,13M 35S
82,86,13M 19S
82,88,13M 6S
84,88,12M 46S
87,88,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
87,90,11M 47S
89,90,11M 20S
89,92,11M 0S
89,94,9M 37S
91,94,8M 59S
93,94,8M 43S
93,96,8M 29S
93,98,7M 59S
95,98,7M 37S
95,100,7M 22S
98,100,6M 55S
101,100,5M 30S
101,102,4M 46S
101,104,4M 24S
103,104,3M 6S
103,106,2M 50S
106,106,1M 32S
108,106,57S
108,108,10S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: N. Vučević vs. M. Turner (C. Anthony gains possession),NA,5M 0S
110,108,4M 45S
110,109,4M 26S
110,110,4M 26S
111,110,4M 18S
112,110,4M 18S
115,110,3M 43S
115,112,3M 29S
115,114,2M 11S
117,114,54S
117,115,45S
118,115,44S
118,117,35S
118,120,3S
End of 1st overtime,NA,0S
