Orlando,LA Clippers,time_rem
16-31,32-17,48M 0S
0,3,47M 42S
0,5,47M 8S
0,7,46M 43S
0,10,46M 8S
0,12,45M 27S
2,12,44M 40S
4,12,44M 3S
6,12,43M 39S
6,15,42M 55S
8,15,42M 32S
8,17,42M 17S
10,17,41M 58S
10,19,41M 35S
12,19,40M 52S
12,22,37M 51S
13,22,37M 5S
13,24,36M 39S
13,26,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
14,26,35M 48S
15,26,35M 48S
15,28,35M 27S
15,30,34M 53S
18,30,33M 17S
18,32,32M 38S
21,32,32M 23S
21,34,32M 8S
23,34,31M 56S
23,37,29M 56S
25,37,29M 40S
26,37,29M 40S
26,40,29M 23S
26,42,28M 33S
28,42,28M 4S
28,44,27M 47S
30,44,27M 20S
32,44,26M 51S
32,45,26M 7S
32,46,26M 7S
34,46,25M 51S
37,46,25M 29S
37,48,25M 7S
37,49,24M 2S
37,51,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
39,51,23M 45S
39,53,22M 40S
39,55,21M 57S
41,55,20M 55S
43,55,20M 31S
43,56,19M 29S
43,57,19M 29S
45,57,19M 9S
45,60,18M 57S
46,60,18M 41S
47,60,18M 41S
47,62,18M 27S
49,62,18M 19S
50,62,18M 19S
53,62,17M 59S
55,62,17M 15S
57,62,16M 48S
57,65,15M 28S
59,65,15M 11S
59,67,14M 58S
62,67,14M 43S
62,69,14M 24S
64,69,14M 7S
64,71,13M 52S
65,71,13M 34S
66,71,13M 34S
67,71,12M 58S
68,71,12M 58S
68,72,12M 45S
68,73,12M 45S
70,73,12M 31S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
70,75,11M 29S
72,75,10M 30S
72,77,10M 7S
74,77,9M 34S
74,80,9M 3S
74,83,8M 25S
76,83,8M 1S
78,83,7M 27S
78,85,5M 17S
78,86,5M 17S
79,86,5M 4S
80,86,5M 4S
80,88,4M 35S
82,88,4M 11S
82,91,3M 48S
84,91,3M 27S
85,91,2M 52S
86,91,2M 52S
86,92,2M 39S
86,93,2M 39S
88,93,2M 20S
89,93,2M 20S
91,93,2M 0S
92,93,1M 46S
93,93,1M 46S
95,93,1M 10S
97,93,53S
97,96,25S
98,96,19S
99,96,19S
101,96,2S
102,96,1S
103,96,1S
End of 4th quarter,NA,0S
