Orlando,LA Lakers,time_rem
15-31,30-17,48M 0S
0,0,47M 33S
2,0,46M 51S
4,0,45M 38S
4,3,45M 5S
4,4,44M 17S
4,5,44M 17S
4,8,43M 42S
6,8,43M 20S
6,10,42M 41S
8,10,42M 26S
11,10,41M 52S
11,12,41M 38S
13,12,41M 20S
13,14,40M 37S
13,16,40M 7S
16,16,39M 55S
19,16,39M 28S
19,17,38M 9S
19,18,38M 9S
21,18,37M 51S
21,20,37M 6S
21,22,36M 28S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,22,35M 49S
23,22,35M 49S
23,25,35M 32S
23,27,35M 10S
23,29,34M 39S
24,29,34M 7S
24,30,33M 15S
24,31,33M 15S
Jump ball: M. Harrell vs. W. Carter (W. Matthews gains possession),NA,33M 4S
24,34,32M 24S
26,34,30M 38S
26,36,30M 20S
26,37,27M 30S
26,39,26M 58S
28,39,26M 46S
30,39,26M 8S
30,40,25M 56S
33,40,25M 40S
33,42,25M 22S
35,42,24M 51S
36,42,24M 51S
36,44,24M 37S
39,44,24M 23S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
41,44,22M 13S
41,46,21M 49S
44,46,21M 23S
46,46,20M 12S
46,49,20M 1S
46,51,19M 24S
47,51,19M 4S
48,51,19M 4S
50,51,18M 35S
51,51,18M 35S
51,53,18M 23S
51,55,17M 42S
51,58,17M 10S
53,58,16M 25S
53,61,16M 7S
55,61,15M 46S
58,61,15M 1S
61,61,14M 12S
61,62,13M 50S
61,63,13M 50S
63,63,13M 33S
63,65,13M 12S
65,65,12M 45S
66,65,12M 45S
66,67,12M 27S
66,69,12M 5S
69,69,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
69,72,11M 40S
71,72,11M 18S
74,72,10M 50S
74,75,10M 21S
76,75,9M 2S
76,77,8M 28S
77,77,8M 6S
79,77,7M 43S
82,77,7M 19S
82,80,6M 28S
84,80,6M 6S
84,81,5M 50S
84,83,5M 40S
84,85,5M 27S
84,87,4M 52S
85,87,4M 30S
85,90,3M 55S
85,91,3M 28S
85,92,3M 28S
87,92,3M 10S
87,93,2M 56S
87,94,2M 56S
88,94,2M 44S
89,94,2M 44S
89,95,1M 16S
89,96,1M 16S
90,96,57S
91,96,57S
93,96,30S
End of 4th quarter,NA,0S
