Orlando,New Orleans,time_rem
17-31,21-26,48M 0S
0,2,47M 44S
0,4,47M 20S
0,7,46M 19S
3,7,45M 53S
3,9,45M 40S
5,9,45M 30S
5,11,44M 47S
7,11,43M 40S
7,13,43M 22S
10,13,43M 9S
12,13,42M 44S
12,14,42M 23S
12,15,42M 23S
12,17,41M 59S
14,17,41M 46S
15,17,41M 22S
16,17,41M 22S
16,19,40M 42S
16,21,40M 9S
18,21,39M 19S
19,21,38M 37S
20,21,38M 37S
20,23,38M 4S
21,23,37M 49S
23,23,37M 23S
23,26,37M 3S
25,26,36M 46S
27,26,36M 5S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,27,35M 47S
27,28,35M 47S
29,28,35M 33S
29,30,34M 24S
29,31,34M 24S
29,33,33M 53S
31,33,33M 12S
31,36,32M 52S
33,36,32M 26S
35,36,31M 38S
36,36,31M 38S
38,36,31M 12S
39,36,30M 37S
40,36,30M 37S
42,36,30M 21S
42,37,30M 7S
42,39,29M 16S
44,39,28M 47S
46,39,28M 21S
48,39,27M 43S
50,39,26M 46S
52,39,25M 56S
52,42,25M 38S
52,45,25M 7S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,48,23M 22S
52,50,22M 20S
52,52,21M 59S
54,52,21M 8S
56,52,20M 35S
56,54,20M 15S
58,54,19M 34S
58,56,19M 17S
60,56,18M 52S
61,56,18M 36S
62,56,18M 36S
62,59,18M 22S
65,59,17M 36S
66,59,17M 4S
67,59,17M 4S
67,62,16M 14S
67,64,15M 41S
67,66,15M 15S
69,66,15M 1S
69,68,14M 37S
69,69,13M 59S
69,70,13M 59S
69,72,13M 15S
69,74,12M 53S
71,74,12M 37S
71,76,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
71,78,11M 47S
73,78,11M 28S
74,78,11M 28S
77,78,11M 4S
79,78,10M 47S
81,78,10M 3S
83,78,9M 35S
85,78,8M 45S
85,80,8M 15S
87,80,7M 58S
88,80,7M 58S
88,81,7M 21S
88,82,7M 21S
88,83,7M 3S
88,84,7M 3S
90,84,6M 23S
91,84,6M 2S
92,84,6M 2S
92,86,5M 43S
92,89,5M 8S
92,92,4M 27S
92,94,4M 2S
95,94,3M 43S
97,94,2M 59S
97,95,2M 22S
97,96,2M 22S
99,96,2M 0S
Jump ball: W. Carter vs. S. Adams (C. Randle gains possession),NA,1M 51S
101,96,1M 37S
101,98,1M 23S
101,101,44S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: W. Carter vs. S. Adams (J. Hart gains possession),NA,5M 0S
101,103,4M 21S
101,104,3M 47S
103,104,2M 48S
103,107,2M 32S
105,107,1M 44S
105,109,1M 32S
107,109,1M 13S
109,109,55S
111,109,27S
111,110,22S
112,110,16S
113,110,16S
114,110,3S
115,110,3S
End of 1st overtime,NA,0S
