Philadelphia,Charlotte,time_rem
16-6,10-12,48M 0S
0,0,47M 40S
0,2,46M 49S
0,4,46M 28S
3,4,45M 40S
5,4,44M 58S
5,7,44M 30S
7,7,44M 13S
9,7,43M 56S
12,7,43M 35S
14,7,42M 28S
16,7,41M 53S
17,7,41M 17S
19,7,40M 43S
20,7,40M 12S
21,7,40M 12S
21,9,39M 22S
23,9,39M 4S
25,9,38M 25S
25,10,37M 23S
25,11,37M 23S
26,11,37M 7S
27,11,36M 36S
28,11,36M 36S
28,13,36M 23S
30,13,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,16,35M 39S
30,18,35M 9S
32,18,34M 36S
34,18,34M 4S
34,20,33M 45S
34,21,33M 23S
36,21,32M 38S
39,21,32M 24S
39,23,32M 4S
39,25,31M 33S
39,28,31M 17S
40,28,31M 3S
41,28,31M 3S
44,28,29M 27S
44,29,29M 16S
44,30,29M 16S
46,30,28M 56S
46,31,28M 44S
46,32,28M 44S
48,32,28M 21S
50,32,27M 36S
53,32,27M 11S
56,32,26M 44S
56,34,26M 32S
58,34,26M 13S
60,34,25M 43S
60,36,25M 35S
60,38,25M 0S
62,38,24M 47S
62,40,24M 35S
64,40,24M 24S
64,42,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,44,23M 50S
65,44,23M 34S
66,44,23M 34S
66,47,23M 15S
69,47,21M 18S
71,47,20M 56S
72,47,20M 56S
72,49,20M 42S
72,52,19M 53S
72,55,19M 25S
72,57,18M 36S
74,57,18M 15S
74,60,17M 48S
76,60,17M 31S
76,61,17M 20S
76,64,16M 56S
78,64,16M 37S
78,67,16M 21S
79,67,16M 3S
80,67,16M 3S
80,68,15M 48S
80,69,15M 48S
80,72,15M 38S
81,72,15M 30S
81,74,15M 8S
82,74,14M 55S
83,74,14M 55S
85,74,13M 12S
86,74,13M 6S
89,74,12M 37S
89,75,12M 3S
89,76,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
91,76,11M 37S
93,76,10M 38S
93,77,10M 31S
93,78,10M 31S
Jump ball: L. Ball vs. S. Milton (M. Bridges gains possession),NA,10M 28S
93,80,9M 51S
95,80,8M 52S
96,80,8M 52S
96,82,8M 4S
98,82,7M 45S
98,84,7M 29S
98,87,7M 0S
100,87,6M 44S
100,89,6M 21S
103,89,5M 43S
103,92,5M 32S
103,94,4M 49S
103,95,4M 49S
104,95,4M 32S
105,95,4M 32S
107,95,3M 48S
107,96,3M 31S
107,97,3M 31S
107,99,2M 53S
110,99,1M 53S
110,101,1M 34S
111,101,1M 18S
112,101,1M 18S
112,103,1M 3S
114,103,55S
114,106,18S
114,109,7S
115,109,7S
116,109,7S
116,110,5S
116,111,5S
117,111,3S
118,111,3S
End of 4th quarter,NA,0S
