Philadelphia,Houston,time_rem
45-21,16-50,48M 0S
0,3,47M 43S
2,3,47M 22S
2,6,47M 1S
3,6,46M 44S
4,6,46M 44S
4,8,46M 27S
7,8,45M 54S
9,8,45M 4S
9,10,44M 2S
12,10,43M 48S
12,12,43M 35S
12,13,43M 35S
15,13,42M 52S
18,13,42M 24S
19,13,41M 55S
20,13,41M 55S
22,13,41M 29S
22,15,41M 0S
23,15,40M 40S
24,15,40M 40S
24,18,40M 26S
24,21,39M 59S
24,23,39M 21S
26,23,39M 12S
26,26,39M 2S
28,26,38M 46S
28,28,38M 36S
30,28,38M 24S
32,28,37M 58S
34,28,37M 27S
37,28,36M 58S
39,28,36M 25S
39,30,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
41,30,35M 39S
43,30,35M 22S
43,33,34M 48S
43,35,34M 21S
43,36,34M 21S
45,36,33M 51S
45,38,33M 32S
48,38,33M 11S
48,40,32M 51S
51,40,32M 37S
51,43,31M 50S
53,43,31M 32S
53,46,30M 30S
56,46,30M 13S
58,46,29M 39S
59,46,29M 7S
60,46,29M 7S
60,47,28M 56S
60,48,28M 56S
62,48,28M 41S
62,50,28M 23S
65,50,28M 6S
65,53,27M 50S
68,53,27M 28S
68,56,27M 9S
69,56,26M 52S
69,58,26M 14S
69,60,25M 43S
71,60,25M 12S
73,60,24M 47S
73,63,24M 34S
75,63,24M 21S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
77,63,23M 39S
79,63,22M 18S
79,65,21M 57S
80,65,21M 41S
81,65,21M 41S
81,67,21M 25S
82,67,21M 1S
84,67,20M 39S
84,68,20M 27S
84,69,20M 6S
86,69,19M 47S
86,72,19M 38S
87,72,19M 31S
88,72,19M 31S
88,74,19M 18S
88,76,18M 6S
91,76,17M 29S
92,76,17M 2S
93,76,17M 2S
94,76,16M 37S
95,76,16M 37S
95,78,16M 24S
97,78,16M 15S
97,79,15M 30S
97,80,15M 30S
99,80,15M 7S
99,83,14M 49S
101,83,14M 24S
101,84,14M 8S
102,84,13M 56S
103,84,13M 56S
103,85,13M 36S
103,86,13M 36S
103,87,13M 17S
103,89,12M 54S
105,89,12M 31S
105,91,12M 14S
108,91,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
108,94,11M 48S
110,94,11M 30S
112,94,11M 6S
115,94,10M 2S
117,94,9M 39S
117,97,9M 18S
119,97,8M 15S
121,97,7M 45S
121,99,7M 27S
123,99,7M 11S
123,101,6M 51S
125,101,6M 34S
125,104,4M 20S
125,106,3M 12S
125,107,2M 42S
125,108,2M 42S
127,108,2M 27S
129,108,1M 15S
129,110,1M 6S
132,110,51S
132,113,40S
135,113,19S
135,115,6S
End of 4th quarter,NA,0S
