Philadelphia,LA Clippers,time_rem
32-14,31-16,48M 0S
0,0,47M 39S
0,2,47M 21S
2,2,47M 13S
5,2,46M 26S
5,3,46M 12S
5,4,46M 12S
7,4,45M 52S
10,4,44M 38S
10,7,44M 12S
11,7,43M 55S
14,7,43M 43S
14,9,42M 54S
16,9,42M 0S
18,9,41M 31S
19,9,41M 31S
19,11,41M 16S
21,11,40M 53S
21,13,40M 39S
21,15,40M 24S
21,18,39M 58S
23,18,39M 31S
23,20,38M 41S
25,20,38M 30S
25,23,38M 1S
26,23,37M 43S
26,24,37M 30S
26,26,37M 3S
28,26,36M 48S
28,27,36M 38S
30,27,36M 30S
30,29,36M 8S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,29,35M 27S
32,31,35M 7S
32,32,35M 7S
33,32,34M 48S
34,32,34M 48S
34,34,34M 40S
36,34,34M 26S
37,34,34M 26S
39,34,32M 52S
39,36,32M 22S
39,38,32M 7S
41,38,31M 41S
41,40,31M 31S
44,40,31M 22S
44,42,31M 3S
44,45,30M 46S
46,45,30M 21S
46,48,30M 5S
47,48,29M 44S
48,48,29M 44S
48,50,29M 34S
48,51,29M 34S
51,51,29M 10S
51,52,29M 4S
51,53,29M 4S
53,53,28M 9S
55,53,27M 37S
55,55,27M 8S
57,55,26M 41S
57,57,26M 27S
57,60,26M 12S
59,60,25M 49S
59,62,25M 32S
59,64,25M 3S
59,65,24M 4S
60,65,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,67,23M 36S
60,68,22M 50S
60,69,22M 50S
60,72,22M 24S
62,72,22M 7S
64,72,21M 24S
64,75,20M 25S
65,75,19M 44S
66,75,19M 44S
67,75,19M 25S
67,76,19M 13S
67,77,19M 13S
67,79,18M 56S
68,79,18M 35S
69,79,18M 35S
69,81,18M 16S
70,81,18M 11S
71,81,18M 11S
73,81,17M 39S
73,82,17M 27S
73,83,17M 27S
73,86,16M 45S
75,86,16M 0S
75,89,15M 38S
76,89,15M 23S
77,89,15M 23S
77,90,15M 1S
79,90,14M 16S
79,93,13M 57S
81,93,13M 43S
81,95,13M 23S
82,95,13M 10S
83,95,13M 10S
83,97,12M 52S
84,97,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
87,97,11M 37S
87,99,10M 36S
87,100,10M 35S
87,101,10M 35S
87,103,10M 2S
89,103,9M 49S
89,105,9M 12S
89,106,8M 52S
89,108,8M 10S
92,108,7M 55S
92,110,7M 38S
95,110,7M 25S
97,110,6M 51S
97,111,6M 23S
97,113,6M 14S
99,113,5M 53S
99,115,5M 31S
101,115,5M 7S
101,117,4M 18S
104,117,3M 23S
104,119,3M 7S
106,119,2M 24S
106,121,2M 7S
109,121,1M 43S
110,121,1M 10S
111,121,1M 10S
111,122,52S
112,122,39S
End of 4th quarter,NA,0S
