Philadelphia,Milwaukee,time_rem
39-21,37-22,48M 0S
0,0,47M 36S
3,0,47M 30S
3,3,47M 13S
4,3,46M 16S
5,3,46M 16S
5,4,45M 40S
5,7,45M 5S
5,9,43M 57S
5,11,42M 50S
7,11,42M 27S
7,14,41M 42S
9,14,40M 1S
9,16,39M 24S
11,16,39M 13S
11,18,39M 3S
13,18,38M 44S
13,20,38M 29S
13,23,37M 40S
15,23,37M 22S
15,26,36M 42S
17,26,36M 20S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
20,26,35M 33S
21,26,34M 41S
21,28,34M 25S
21,29,34M 12S
23,29,33M 46S
24,29,33M 46S
24,31,33M 6S
26,31,32M 53S
28,31,32M 12S
28,32,30M 42S
28,33,30M 42S
28,34,30M 42S
30,34,30M 25S
30,35,30M 13S
30,36,30M 13S
32,36,30M 4S
32,38,28M 45S
32,40,28M 15S
Jump ball: P. Tucker vs. D. Green (B. Forbes gains possession),NA,28M 12S
32,42,26M 49S
35,42,26M 31S
35,44,26M 18S
35,47,25M 1S
37,47,24M 44S
38,47,24M 44S
39,47,24M 13S
40,47,24M 13S
40,50,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
42,50,23M 9S
42,52,22M 58S
44,52,22M 17S
44,55,22M 3S
46,55,21M 49S
48,55,21M 25S
51,55,21M 5S
54,55,20M 36S
54,58,20M 10S
54,60,19M 37S
57,60,19M 19S
57,62,19M 10S
57,63,19M 10S
57,65,18M 43S
57,67,18M 27S
57,69,17M 49S
57,72,17M 28S
57,74,16M 59S
57,75,16M 59S
59,75,16M 39S
59,77,16M 26S
59,78,15M 53S
59,80,14M 29S
59,82,13M 43S
59,84,13M 7S
61,84,12M 58S
61,86,12M 47S
62,86,12M 34S
63,86,12M 34S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
63,88,11M 40S
65,88,11M 21S
67,88,10M 59S
67,90,10M 33S
67,91,9M 49S
67,94,9M 26S
69,94,9M 15S
70,94,9M 15S
70,97,8M 55S
72,97,8M 33S
73,97,8M 33S
73,98,8M 28S
75,98,8M 3S
75,100,7M 47S
76,100,6M 58S
76,103,5M 56S
77,103,5M 42S
77,106,5M 22S
77,108,4M 53S
77,111,4M 24S
80,111,4M 11S
80,113,3M 56S
81,113,3M 52S
82,113,3M 52S
83,113,3M 43S
83,115,3M 29S
84,115,3M 17S
84,118,3M 1S
84,120,2M 46S
84,121,2M 21S
84,122,2M 21S
84,125,1M 51S
86,125,1M 37S
87,125,1M 37S
87,126,1M 30S
87,127,1M 30S
88,127,1M 17S
89,127,1M 17S
89,130,1M 9S
90,130,54S
91,130,54S
91,132,19S
92,132,13S
93,132,13S
94,132,13S
End of 4th quarter,NA,0S
