Philadelphia,New Orleans,time_rem
35-17,23-29,48M 0S
0,0,47M 38S
0,2,47M 35S
0,4,47M 6S
3,4,46M 50S
3,6,45M 39S
6,6,45M 23S
8,6,45M 4S
8,8,44M 45S
9,8,44M 29S
10,8,44M 25S
11,8,44M 25S
13,8,44M 3S
13,9,43M 52S
13,10,43M 52S
15,10,43M 14S
15,12,43M 1S
16,12,42M 54S
16,14,41M 22S
16,16,40M 48S
16,18,39M 42S
17,18,39M 6S
18,18,39M 6S
18,19,38M 51S
20,19,38M 9S
22,19,37M 49S
22,21,37M 29S
22,23,37M 6S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,25,35M 44S
24,25,35M 36S
24,27,35M 14S
27,27,34M 46S
27,29,34M 27S
27,30,34M 27S
29,30,34M 0S
29,31,33M 55S
29,32,33M 49S
31,32,33M 36S
33,32,33M 6S
33,34,32M 50S
36,34,32M 27S
36,36,32M 9S
36,39,31M 39S
39,39,31M 24S
41,39,30M 54S
41,41,28M 30S
43,41,28M 13S
43,42,27M 57S
43,43,27M 57S
45,43,26M 53S
47,43,26M 31S
47,44,25M 49S
47,45,25M 49S
Jump ball: B. Simmons vs. W. Hernangómez (S. Curry gains possession),NA,25M 32S
47,48,25M 9S
50,48,24M 55S
50,50,24M 23S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,50,23M 41S
53,50,23M 6S
54,50,23M 6S
54,52,22M 52S
54,54,21M 55S
56,54,21M 19S
58,54,20M 52S
59,54,20M 29S
59,57,20M 17S
59,59,19M 57S
59,62,19M 30S
59,64,18M 54S
61,64,18M 18S
61,66,17M 37S
61,68,16M 37S
62,68,15M 44S
63,68,15M 44S
63,69,14M 19S
63,70,14M 19S
65,70,14M 7S
65,72,13M 48S
65,74,13M 22S
68,74,13M 7S
68,75,12M 58S
68,76,12M 58S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
68,78,11M 38S
68,80,11M 13S
68,82,10M 54S
71,82,10M 45S
71,84,10M 26S
71,85,9M 49S
71,86,9M 49S
74,86,9M 29S
74,88,9M 9S
76,88,8M 59S
77,88,8M 5S
78,88,8M 5S
78,90,7M 44S
80,90,6M 33S
80,92,6M 14S
81,92,5M 55S
81,93,5M 41S
81,94,5M 8S
84,94,4M 49S
85,94,4M 27S
86,94,4M 3S
87,94,4M 3S
87,96,3M 9S
87,98,2M 26S
90,98,2M 6S
92,98,1M 43S
92,100,1M 8S
92,101,1M 0S
94,101,19S
End of 4th quarter,NA,0S
