Philadelphia,New York,time_rem
2-0,0-2,48M 0S
0,0,47M 44S
1,0,47M 40S
1,1,47M 26S
1,4,47M 2S
1,6,46M 41S
3,6,46M 15S
3,8,45M 56S
5,8,45M 1S
5,10,44M 44S
7,10,44M 36S
9,10,43M 53S
12,10,43M 12S
14,10,42M 30S
14,11,42M 17S
16,11,41M 24S
16,14,41M 12S
18,14,40M 29S
18,16,39M 59S
18,17,39M 59S
18,19,39M 33S
20,19,39M 11S
23,19,38M 43S
24,19,38M 16S
24,21,37M 54S
24,24,37M 33S
24,25,37M 11S
24,27,36M 49S
27,27,36M 17S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,27,35M 41S
29,29,35M 28S
31,29,35M 20S
31,30,34M 32S
31,31,34M 32S
33,31,34M 9S
35,31,32M 53S
36,31,32M 53S
36,34,32M 36S
38,34,31M 54S
38,36,31M 35S
40,36,31M 22S
40,37,31M 14S
40,38,31M 14S
40,40,30M 49S
40,43,30M 18S
40,45,29M 55S
41,45,29M 45S
44,45,29M 17S
46,45,28M 17S
47,45,28M 17S
49,45,27M 45S
51,45,26M 33S
54,45,26M 13S
54,47,25M 54S
55,47,25M 45S
56,47,25M 45S
56,49,25M 34S
56,52,25M 27S
58,52,25M 9S
58,53,24M 51S
59,53,24M 43S
60,53,24M 43S
60,55,24M 33S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,55,23M 32S
62,57,23M 11S
62,59,22M 30S
64,59,22M 10S
65,59,21M 37S
68,59,21M 6S
68,60,20M 50S
70,60,20M 8S
70,62,19M 40S
73,62,18M 33S
75,62,17M 38S
78,62,17M 10S
78,65,16M 54S
78,67,16M 15S
80,67,15M 49S
80,69,15M 12S
82,69,14M 56S
84,69,14M 5S
86,69,13M 17S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,72,11M 11S
86,73,11M 1S
88,73,10M 13S
88,75,9M 51S
90,75,9M 25S
90,76,8M 31S
90,77,8M 31S
90,79,7M 14S
90,81,6M 48S
93,81,6M 27S
94,81,5M 21S
94,82,5M 12S
94,83,5M 12S
95,83,5M 1S
97,83,4M 31S
97,85,4M 18S
99,85,4M 5S
102,85,3M 27S
103,85,3M 7S
104,85,3M 7S
104,87,2M 49S
104,88,1M 31S
104,89,1M 31S
105,89,1M 1S
106,89,1M 1S
109,89,33S
End of 4th quarter,NA,0S
