Philadelphia,Orlando,time_rem
4-1,4-1,48M 0S
2,0,47M 45S
4,0,47M 13S
4,2,46M 54S
4,4,46M 2S
6,4,45M 48S
6,7,44M 46S
9,7,44M 27S
9,8,44M 15S
9,9,44M 15S
12,9,44M 7S
14,9,43M 39S
14,11,43M 30S
14,12,43M 30S
16,12,43M 15S
19,12,42M 56S
19,14,42M 38S
21,14,42M 16S
24,14,41M 46S
24,15,41M 31S
26,15,41M 9S
27,15,40M 37S
28,15,40M 37S
28,17,40M 18S
31,17,39M 41S
34,17,39M 12S
35,17,38M 33S
36,17,38M 33S
37,17,37M 39S
38,17,37M 39S
38,19,37M 26S
38,20,36M 35S
38,21,36M 6S
38,22,36M 6S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
40,22,35M 20S
42,22,34M 33S
44,22,34M 0S
44,25,33M 40S
46,25,33M 27S
48,25,33M 1S
50,25,32M 31S
51,25,32M 31S
51,27,32M 20S
54,27,31M 25S
56,27,30M 32S
59,27,30M 7S
60,27,29M 52S
60,29,29M 5S
60,31,28M 23S
62,31,28M 3S
65,31,27M 26S
65,33,27M 6S
66,33,26M 55S
68,33,26M 24S
69,33,25M 59S
70,33,25M 59S
70,34,25M 48S
70,35,25M 48S
72,35,25M 8S
72,38,24M 56S
72,40,24M 32S
75,40,24M 16S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
75,42,23M 52S
75,43,23M 52S
75,45,23M 30S
77,45,22M 20S
77,47,21M 8S
80,47,20M 48S
81,47,20M 26S
81,49,20M 8S
81,51,19M 9S
81,52,19M 9S
84,52,18M 33S
84,55,18M 23S
87,55,18M 4S
89,55,17M 22S
89,58,17M 10S
91,58,16M 51S
91,60,16M 37S
94,60,16M 15S
96,60,15M 47S
98,60,15M 8S
98,61,13M 57S
98,62,13M 57S
98,65,13M 6S
98,67,12M 37S
98,69,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
98,71,11M 6S
100,71,10M 54S
100,73,10M 42S
100,76,10M 7S
102,76,8M 55S
104,76,8M 33S
105,76,8M 33S
107,76,7M 17S
110,76,6M 56S
110,78,6M 41S
112,78,6M 22S
112,79,5M 57S
112,80,5M 57S
114,80,5M 46S
114,81,5M 35S
114,82,5M 35S
114,83,5M 35S
114,85,5M 10S
114,87,4M 10S
114,89,3M 43S
114,90,3M 43S
116,90,3M 12S
116,92,2M 49S
End of 4th quarter,NA,0S
