Philadelphia,Toronto,time_rem
21-11,16-16,48M 0S
2,0,47M 42S
2,3,47M 17S
4,3,46M 49S
7,3,46M 10S
7,6,45M 23S
7,8,44M 12S
8,8,44M 7S
9,8,44M 7S
12,8,43M 44S
15,8,43M 12S
17,8,42M 31S
20,8,41M 57S
20,10,41M 45S
22,10,41M 25S
22,11,40M 46S
22,12,40M 46S
22,14,40M 4S
25,14,39M 46S
25,16,38M 19S
27,16,38M 1S
28,16,37M 36S
29,16,37M 36S
30,16,37M 36S
33,16,37M 10S
34,16,37M 9S
34,18,36M 30S
37,18,36M 7S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
37,20,35M 31S
39,20,35M 21S
39,23,34M 55S
39,25,34M 19S
41,25,34M 4S
43,25,32M 45S
43,27,32M 32S
43,29,32M 2S
45,29,31M 40S
48,29,31M 8S
50,29,29M 33S
50,32,28M 44S
50,34,28M 17S
53,34,28M 0S
53,36,26M 59S
53,38,26M 5S
53,40,25M 37S
53,42,25M 24S
54,42,24M 33S
55,42,24M 33S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,42,23M 22S
Jump ball: F. VanVleet vs. J. Embiid (N. Powell gains possession),NA,22M 41S
57,44,22M 4S
57,47,20M 56S
57,48,20M 24S
57,49,20M 24S
57,51,19M 33S
58,51,19M 12S
59,51,19M 12S
61,51,18M 35S
64,51,18M 3S
64,52,16M 40S
64,53,16M 40S
65,53,16M 23S
66,53,16M 23S
66,55,16M 12S
69,55,15M 56S
69,58,15M 39S
69,60,14M 31S
72,60,14M 4S
73,60,13M 35S
74,60,13M 35S
74,62,13M 19S
75,62,13M 6S
76,62,13M 6S
76,65,12M 55S
79,65,12M 21S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,65,11M 47S
81,67,11M 22S
81,69,10M 26S
81,71,9M 3S
81,73,8M 8S
84,73,7M 27S
84,76,6M 54S
87,76,6M 27S
87,78,6M 10S
88,78,5M 55S
89,78,5M 55S
89,80,5M 34S
89,83,5M 7S
91,83,4M 47S
94,83,4M 7S
96,83,3M 41S
96,86,3M 23S
99,86,3M 2S
101,86,2M 26S
102,86,1M 48S
103,86,1M 48S
103,88,1M 41S
103,89,1M 41S
103,92,58S
104,92,57S
104,93,53S
104,94,53S
Jump ball: S. Milton vs. F. VanVleet (T. Harris gains possession),NA,46S
104,96,32S
105,96,32S
106,96,32S
106,97,30S
106,98,30S
106,100,21S
107,100,19S
107,102,10S
108,102,10S
109,102,10S
End of 4th quarter,NA,0S
