Philadelphia,Washington,time_rem
26-12,14-22,48M 0S
0,0,47M 35S
2,0,47M 2S
4,0,46M 6S
4,2,45M 34S
6,2,45M 21S
7,2,45M 21S
7,4,45M 11S
7,6,44M 22S
9,6,43M 54S
11,6,43M 38S
11,7,43M 23S
11,8,43M 23S
13,8,43M 9S
15,8,42M 50S
16,8,42M 10S
18,8,41M 35S
21,8,41M 9S
21,10,40M 29S
23,10,40M 13S
25,10,39M 42S
25,11,39M 33S
27,11,39M 7S
27,13,38M 53S
29,13,38M 7S
32,13,37M 49S
32,15,37M 36S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,15,35M 38S
34,18,35M 24S
34,20,34M 53S
35,20,34M 38S
36,20,34M 38S
36,22,34M 25S
38,22,33M 40S
38,24,33M 24S
40,24,33M 11S
40,27,32M 57S
42,27,32M 30S
43,27,32M 30S
43,29,32M 12S
43,31,31M 53S
43,33,31M 35S
46,33,31M 20S
46,36,30M 57S
48,36,30M 39S
48,37,30M 6S
48,40,29M 59S
49,40,28M 37S
50,40,28M 37S
50,42,28M 27S
52,42,27M 54S
52,44,27M 41S
54,44,27M 28S
55,44,27M 28S
56,44,26M 55S
57,44,26M 55S
57,47,26M 33S
59,47,26M 16S
61,47,25M 50S
61,49,25M 40S
61,50,25M 15S
61,51,25M 15S
62,51,24M 54S
63,51,24M 54S
63,53,24M 20S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,53,23M 43S
65,53,23M 43S
65,55,23M 26S
67,55,23M 6S
69,55,22M 21S
72,55,21M 34S
72,57,21M 13S
74,57,20M 56S
76,57,20M 0S
76,58,19M 44S
76,60,19M 16S
78,60,19M 0S
80,60,18M 27S
80,61,18M 7S
82,61,17M 10S
82,63,16M 58S
82,65,16M 31S
84,65,16M 9S
84,67,15M 54S
84,68,15M 18S
87,68,15M 2S
87,69,14M 51S
87,70,14M 51S
87,72,14M 27S
90,72,14M 8S
90,74,13M 46S
92,74,13M 29S
94,74,12M 57S
94,76,12M 22S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
97,76,11M 33S
99,76,10M 42S
99,78,10M 32S
101,78,10M 14S
101,80,9M 30S
102,80,9M 11S
103,80,9M 11S
103,82,9M 1S
103,83,9M 1S
106,83,8M 21S
106,86,8M 5S
108,86,7M 48S
111,86,7M 23S
111,89,7M 10S
114,89,6M 52S
116,89,6M 19S
118,89,5M 5S
118,91,4M 11S
121,91,3M 46S
122,91,3M 31S
123,91,3M 31S
123,93,2M 42S
123,95,1M 56S
125,95,1M 39S
125,97,1M 32S
127,97,1M 20S
127,98,1M 13S
127,101,51S
End of 4th quarter,NA,0S
