Phoenix,Brooklyn,time_rem
42-18,41-20,48M 0S
0,0,47M 39S
0,2,47M 4S
2,2,46M 43S
2,5,46M 33S
2,7,45M 52S
2,9,45M 11S
4,9,44M 49S
6,9,44M 25S
8,9,43M 32S
10,9,43M 0S
10,10,42M 48S
10,11,42M 48S
10,12,42M 7S
10,13,42M 7S
13,13,41M 48S
13,15,41M 21S
16,15,40M 32S
16,17,40M 16S
16,18,40M 16S
18,18,39M 21S
21,18,38M 56S
21,19,38M 45S
21,20,38M 45S
22,20,38M 30S
23,20,38M 30S
23,23,38M 12S
25,23,37M 55S
25,26,37M 40S
26,26,37M 29S
27,26,37M 22S
28,26,37M 22S
28,27,37M 17S
30,27,36M 59S
31,27,36M 4S
32,27,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,27,35M 31S
36,27,35M 13S
36,28,34M 44S
36,30,33M 56S
39,30,33M 44S
39,31,33M 37S
39,32,33M 37S
41,32,32M 58S
41,34,32M 19S
43,34,31M 17S
43,36,31M 8S
45,36,30M 53S
45,37,30M 32S
45,38,30M 32S
45,40,30M 5S
48,40,29M 51S
51,40,29M 23S
51,42,28M 12S
51,43,28M 12S
53,43,28M 4S
56,43,27M 34S
56,45,27M 8S
56,48,26M 51S
58,48,26M 21S
58,50,26M 7S
58,53,25M 33S
58,55,25M 6S
61,55,24M 52S
61,57,24M 36S
61,59,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
63,59,23M 50S
63,62,23M 37S
65,62,23M 13S
65,64,22M 52S
67,64,22M 41S
67,67,22M 26S
67,69,21M 58S
70,69,21M 36S
72,69,21M 10S
72,71,20M 51S
74,71,20M 30S
74,73,20M 11S
74,75,18M 48S
76,75,18M 26S
76,78,18M 17S
78,78,17M 57S
78,81,17M 45S
81,81,17M 22S
82,81,16M 55S
82,84,16M 39S
84,84,16M 27S
84,86,16M 12S
85,86,15M 49S
86,86,15M 49S
86,88,15M 36S
86,90,15M 4S
87,90,14M 26S
88,90,14M 26S
88,93,14M 11S
90,93,13M 51S
90,96,13M 40S
90,97,12M 19S
92,97,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
92,99,11M 45S
92,102,11M 18S
94,102,9M 47S
95,102,9M 27S
95,104,9M 6S
95,106,8M 36S
95,107,8M 36S
95,109,8M 14S
97,109,8M 3S
97,110,7M 50S
97,111,7M 50S
97,113,7M 25S
98,113,7M 15S
99,113,7M 15S
99,115,6M 52S
100,115,6M 5S
101,115,6M 5S
104,115,5M 47S
104,117,5M 28S
104,119,4M 39S
106,119,4M 28S
106,120,3M 0S
106,121,3M 0S
107,121,2M 51S
108,121,2M 51S
108,123,2M 25S
108,124,2M 25S
110,124,2M 14S
113,124,1M 40S
115,124,1M 1S
115,125,1M 0S
117,125,51S
117,127,31S
117,128,31S
118,128,9S
119,128,9S
End of 4th quarter,NA,0S
