Phoenix,Detroit,time_rem
6-3,2-7,48M 0S
3,0,47M 41S
3,2,47M 18S
6,2,47M 2S
8,2,46M 6S
8,4,45M 55S
8,6,45M 34S
10,6,44M 30S
10,8,44M 11S
10,11,43M 38S
13,11,43M 11S
13,14,42M 25S
13,16,42M 0S
16,16,41M 37S
19,16,41M 2S
19,17,40M 46S
19,18,40M 46S
21,18,40M 15S
21,20,38M 57S
24,20,38M 4S
26,20,37M 0S
29,20,36M 34S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,20,35M 26S
33,20,34M 38S
33,23,34M 27S
36,23,34M 18S
36,24,34M 11S
36,25,34M 11S
36,28,33M 54S
38,28,33M 35S
41,28,33M 2S
44,28,32M 24S
47,28,32M 1S
47,31,31M 37S
49,31,31M 26S
52,31,30M 24S
54,31,30M 9S
54,34,29M 47S
54,37,29M 9S
54,40,28M 47S
54,41,28M 19S
54,42,28M 19S
54,44,27M 7S
56,44,25M 20S
56,46,24M 59S
56,48,24M 33S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,48,23M 31S
61,48,22M 46S
61,50,22M 26S
61,51,21M 41S
61,52,21M 41S
61,53,21M 7S
61,54,21M 7S
64,54,20M 26S
64,55,19M 47S
64,56,19M 47S
66,56,19M 33S
66,57,18M 21S
66,58,18M 21S
66,60,17M 51S
68,60,17M 33S
68,62,17M 16S
68,63,16M 27S
68,64,16M 27S
68,65,16M 14S
68,66,16M 14S
70,66,15M 59S
70,68,15M 42S
70,70,15M 20S
72,70,14M 37S
73,70,13M 25S
74,70,13M 25S
74,71,12M 36S
74,72,12M 36S
75,72,12M 1S
76,72,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
78,72,10M 35S
78,74,9M 56S
80,74,9M 16S
80,76,8M 21S
82,76,7M 47S
84,76,7M 9S
84,78,6M 50S
84,79,5M 42S
Jump ball: J. Grant vs. D. Booker (D. Wright gains possession),NA,5M 36S
84,81,5M 23S
86,81,4M 58S
86,84,4M 37S
88,84,4M 17S
88,86,4M 2S
88,87,3M 34S
88,89,2M 37S
91,89,2M 21S
93,89,1M 29S
93,90,1M 23S
93,91,1M 23S
93,93,9S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: D. Ayton vs. M. Plumlee (D. Wright gains possession),NA,5M 0S
93,95,4M 42S
93,97,4M 8S
93,100,3M 21S
93,102,3M 0S
94,102,2M 50S
95,102,2M 50S
95,104,2M 27S
98,104,1M 44S
100,104,1M 15S
100,106,58S
103,106,40S
103,109,18S
105,109,7S
105,110,2S
End of 1st overtime,NA,0S
