Phoenix,Golden State,time_rem
48-21,37-33,48M 0S
0,3,47M 49S
2,3,47M 20S
2,5,46M 39S
5,5,46M 30S
5,7,46M 17S
8,7,45M 44S
8,9,45M 5S
8,11,44M 33S
10,11,44M 14S
10,14,43M 50S
12,14,43M 36S
15,14,43M 13S
15,17,42M 54S
15,19,42M 27S
17,19,42M 12S
20,19,41M 32S
20,21,41M 18S
22,21,40M 49S
24,21,39M 54S
24,23,39M 41S
27,23,39M 32S
29,23,38M 41S
32,23,38M 25S
34,23,37M 31S
36,23,37M 8S
36,25,36M 53S
38,25,36M 37S
38,27,36M 29S
38,29,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
40,29,35M 44S
40,30,35M 31S
43,30,34M 42S
43,32,34M 22S
44,32,33M 37S
45,32,33M 37S
45,34,33M 24S
45,35,33M 24S
47,35,33M 3S
47,37,32M 9S
50,37,31M 42S
51,37,31M 15S
52,37,31M 15S
52,40,31M 0S
55,40,30M 36S
55,42,30M 20S
55,44,29M 22S
56,44,29M 1S
57,44,29M 1S
60,44,28M 32S
60,46,28M 2S
60,48,27M 17S
62,48,26M 51S
62,50,26M 27S
62,52,25M 53S
62,54,25M 12S
63,54,24M 54S
64,54,24M 54S
64,56,24M 34S
66,56,24M 13S
66,58,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
68,58,23M 7S
68,60,22M 31S
69,60,22M 26S
70,60,22M 26S
70,61,22M 15S
70,64,21M 32S
72,64,21M 20S
74,64,20M 56S
74,66,19M 45S
74,67,19M 45S
76,67,19M 28S
76,69,19M 12S
76,71,18M 34S
78,71,18M 15S
78,73,17M 48S
80,73,17M 30S
80,74,17M 16S
80,75,17M 16S
82,75,17M 1S
82,77,16M 15S
82,78,16M 15S
84,78,15M 53S
84,80,15M 36S
84,81,15M 36S
85,81,15M 30S
86,81,15M 30S
86,82,15M 15S
86,83,15M 15S
87,83,15M 6S
88,83,15M 6S
88,85,14M 52S
91,85,14M 34S
92,85,13M 45S
93,85,13M 45S
93,88,12M 57S
96,88,12M 38S
96,89,12M 31S
96,90,12M 31S
98,90,12M 13S
98,92,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
98,95,11M 43S
99,95,11M 20S
100,95,11M 20S
100,98,10M 54S
103,98,9M 45S
103,100,8M 18S
103,101,8M 18S
103,102,7M 45S
103,103,7M 45S
105,103,7M 4S
105,105,6M 4S
108,105,5M 25S
108,107,5M 6S
110,107,3M 34S
110,110,2M 58S
113,110,2M 29S
113,113,2M 14S
113,116,1M 43S
113,118,1M 22S
116,118,1M 10S
116,120,45S
116,121,9S
116,122,9S
End of 4th quarter,NA,0S
