Phoenix,LA Lakers,time_rem
48-20,38-30,48M 0S
0,3,47M 38S
0,5,47M 11S
0,7,46M 2S
1,7,45M 50S
4,7,45M 16S
4,9,45M 5S
4,10,44M 22S
4,11,44M 22S
4,13,43M 25S
4,15,42M 59S
6,15,42M 46S
6,18,42M 26S
6,20,41M 41S
6,21,41M 5S
6,22,41M 5S
9,22,40M 52S
11,22,39M 33S
11,25,39M 16S
13,25,39M 1S
13,26,38M 51S
14,26,38M 23S
15,26,38M 23S
15,27,38M 7S
15,28,38M 7S
Jump ball: D. Booker vs. B. McLemore (F. Kaminsky gains possession),NA,37M 29S
15,30,37M 2S
17,30,36M 41S
Jump ball: F. Kaminsky vs. A. Davis (A. Caruso gains possession),NA,36M 18S
19,30,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
21,30,35M 44S
21,31,34M 31S
21,33,34M 10S
24,33,33M 41S
24,35,33M 35S
24,36,33M 35S
26,36,33M 10S
26,39,32M 29S
26,41,31M 52S
28,41,31M 29S
28,42,31M 16S
30,42,31M 3S
31,42,31M 3S
33,42,30M 31S
33,44,30M 10S
33,45,29M 21S
34,45,29M 21S
35,45,29M 21S
35,46,29M 12S
35,48,28M 11S
35,50,27M 46S
37,50,27M 26S
37,53,27M 4S
39,53,26M 42S
39,55,26M 18S
39,56,25M 31S
39,57,25M 31S
40,57,25M 19S
41,57,25M 19S
42,57,24M 58S
43,57,24M 58S
43,58,24M 44S
43,59,24M 44S
45,59,24M 33S
47,59,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
47,62,22M 52S
49,62,22M 39S
50,62,22M 39S
50,64,22M 20S
50,67,21M 58S
52,67,21M 39S
53,67,21M 18S
54,67,21M 18S
54,68,21M 9S
54,69,21M 9S
54,72,20M 12S
57,72,19M 34S
57,75,19M 14S
59,75,18M 52S
60,75,17M 44S
62,75,17M 6S
62,78,16M 54S
65,78,16M 40S
67,78,16M 14S
67,81,15M 41S
67,82,15M 23S
67,83,15M 23S
68,83,15M 13S
68,85,15M 4S
70,85,14M 49S
70,86,14M 34S
70,87,14M 34S
71,87,14M 14S
72,87,14M 14S
72,89,13M 56S
75,89,13M 40S
75,90,13M 30S
76,90,13M 23S
77,90,13M 23S
77,93,13M 9S
77,95,12M 43S
77,98,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
77,99,11M 46S
77,100,11M 46S
80,100,11M 35S
83,100,11M 2S
83,102,10M 51S
83,104,10M 6S
85,104,9M 50S
85,106,9M 40S
88,106,9M 13S
88,108,9M 1S
90,108,8M 48S
92,108,8M 20S
95,108,7M 59S
95,110,7M 31S
97,110,7M 5S
100,110,6M 7S
100,112,5M 46S
100,113,5M 46S
102,113,5M 24S
102,115,5M 11S
104,115,4M 59S
105,115,4M 32S
106,115,4M 32S
108,115,3M 57S
108,116,3M 46S
108,117,2M 13S
108,118,2M 13S
110,118,2M 1S
110,119,1M 0S
110,120,1M 0S
110,122,34S
110,123,34S
End of 4th quarter,NA,0S
