Phoenix,Minnesota,time_rem
22-11,7-28,48M 0S
0,0,47M 46S
0,3,47M 32S
2,3,46M 29S
3,3,45M 54S
4,3,45M 54S
4,5,45M 5S
4,6,44M 33S
4,7,44M 33S
6,7,44M 21S
6,9,43M 59S
8,9,43M 35S
10,9,42M 47S
12,9,42M 23S
12,10,41M 59S
14,10,41M 48S
15,10,41M 27S
16,10,41M 27S
16,13,40M 43S
18,13,39M 45S
18,14,39M 11S
18,15,39M 11S
20,15,39M 0S
20,16,38M 56S
20,17,38M 56S
20,19,38M 6S
22,19,37M 53S
22,21,37M 41S
24,21,37M 30S
25,21,37M 30S
25,24,37M 1S
27,24,36M 50S
27,26,36M 30S
30,26,36M 8S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,26,35M 39S
33,27,34M 42S
33,28,34M 42S
33,31,34M 26S
33,34,33M 50S
34,34,31M 48S
35,34,31M 48S
37,34,31M 18S
37,36,30M 50S
37,38,30M 25S
38,38,30M 10S
39,38,30M 10S
41,38,28M 27S
41,40,27M 59S
43,40,27M 41S
45,40,27M 15S
47,40,26M 39S
47,42,26M 8S
47,43,25M 38S
47,44,25M 38S
47,46,25M 4S
49,46,24M 48S
51,46,24M 11S
51,48,24M 5S
53,48,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,48,23M 25S
55,49,23M 0S
55,50,23M 0S
55,52,22M 51S
58,52,22M 36S
59,52,22M 8S
61,52,21M 28S
61,54,21M 12S
61,56,20M 23S
61,58,19M 46S
61,60,19M 3S
63,60,18M 44S
63,63,18M 27S
65,63,18M 12S
65,64,17M 54S
65,65,17M 54S
67,65,17M 40S
69,65,17M 14S
70,65,17M 14S
70,67,16M 35S
71,67,16M 30S
72,67,16M 30S
72,69,15M 55S
73,69,15M 50S
74,69,15M 50S
74,71,15M 32S
76,71,14M 36S
76,74,14M 18S
79,74,14M 1S
81,74,13M 17S
81,76,12M 33S
83,76,12M 15S
84,76,12M 15S
86,76,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,76,11M 51S
89,77,11M 31S
92,77,11M 12S
94,77,10M 45S
97,77,10M 13S
97,78,10M 1S
97,79,10M 1S
99,79,9M 43S
99,81,8M 43S
99,83,7M 30S
101,83,7M 6S
102,83,7M 6S
102,85,6M 43S
104,85,5M 29S
106,85,4M 56S
106,87,4M 32S
108,87,4M 10S
110,87,3M 28S
111,87,3M 28S
111,89,3M 18S
112,89,3M 5S
113,89,3M 5S
113,90,2M 49S
113,91,2M 25S
113,92,2M 25S
113,94,1M 45S
115,94,1M 4S
116,94,1M 4S
116,97,53S
117,97,41S
118,97,41S
118,99,6S
End of 4th quarter,NA,0S
