Phoenix,Oklahoma City,time_rem
46-18,21-44,48M 0S
0,0,47M 43S
0,2,47M 39S
2,2,47M 22S
2,4,47M 1S
2,6,46M 5S
4,6,45M 50S
4,9,45M 36S
6,9,45M 24S
8,9,44M 50S
8,12,44M 31S
9,12,44M 24S
10,12,44M 24S
10,14,44M 8S
12,14,43M 53S
12,17,43M 37S
13,17,43M 3S
13,19,42M 44S
15,19,42M 29S
17,19,42M 8S
19,19,41M 38S
19,21,41M 20S
22,21,40M 56S
22,24,40M 42S
22,26,39M 5S
25,26,37M 52S
25,29,37M 36S
25,31,37M 8S
25,32,36M 39S
25,33,36M 39S
27,33,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,33,35M 30S
33,33,35M 5S
36,33,34M 20S
39,33,33M 57S
39,34,33M 33S
41,34,33M 10S
41,36,32M 59S
41,39,32M 17S
42,39,32M 1S
42,41,31M 47S
42,42,31M 47S
42,45,31M 32S
42,47,31M 13S
44,47,30M 55S
46,47,29M 50S
46,49,29M 12S
47,49,28M 50S
48,49,28M 50S
48,51,28M 30S
50,51,27M 46S
51,51,27M 10S
52,51,27M 10S
55,51,26M 42S
58,51,26M 8S
58,52,25M 53S
58,53,25M 53S
59,53,25M 50S
60,53,25M 50S
60,55,25M 34S
62,55,24M 53S
62,56,24M 32S
62,57,24M 32S
64,57,24M 6S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
67,57,23M 23S
67,59,22M 59S
69,59,22M 42S
69,61,22M 30S
69,63,21M 36S
69,64,21M 20S
69,65,21M 20S
71,65,21M 3S
73,65,20M 33S
73,67,20M 17S
75,67,19M 57S
75,68,19M 32S
78,68,19M 12S
78,70,18M 53S
80,70,18M 34S
81,70,18M 34S
82,70,17M 47S
82,72,17M 25S
82,74,16M 32S
84,74,16M 6S
85,74,16M 6S
87,74,15M 30S
89,74,15M 16S
89,76,15M 3S
91,76,14M 42S
93,76,14M 7S
93,77,13M 56S
93,78,13M 56S
93,80,13M 28S
93,82,12M 47S
96,82,12M 29S
96,85,12M 20S
97,85,12M 0S
98,85,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
99,85,11M 50S
99,87,11M 36S
101,87,10M 52S
103,87,10M 26S
103,88,10M 10S
103,89,10M 10S
105,89,9M 36S
107,89,9M 4S
107,91,8M 52S
107,94,8M 24S
110,94,7M 10S
110,96,6M 53S
112,96,6M 28S
112,98,6M 18S
113,98,5M 58S
114,98,5M 58S
114,100,5M 27S
116,100,5M 14S
116,103,4M 28S
118,103,4M 3S
119,103,3M 29S
119,106,3M 11S
119,109,2M 28S
121,109,2M 12S
121,111,1M 52S
121,113,1M 22S
121,115,53S
121,116,53S
121,117,36S
Jump ball: D. Ayton vs. I. Roby (D. Booker gains possession),NA,12S
122,117,6S
123,117,6S
123,120,1S
End of 4th quarter,NA,0S
