Portland,Detroit,time_rem
29-18,13-34,48M 0S
0,0,47M 52S
0,2,46M 49S
2,2,46M 29S
2,4,46M 17S
3,4,46M 1S
4,4,46M 1S
6,4,45M 9S
6,6,44M 50S
6,9,44M 17S
9,9,44M 3S
9,12,43M 36S
12,12,43M 23S
12,14,43M 6S
14,14,42M 49S
16,14,42M 33S
19,14,42M 10S
22,14,41M 39S
22,17,41M 19S
22,19,40M 48S
22,21,40M 19S
25,21,39M 47S
25,22,39M 31S
25,25,38M 53S
25,27,37M 47S
25,28,37M 47S
27,28,37M 12S
27,31,36M 48S
28,31,36M 39S
29,31,36M 39S
31,31,36M 9S
31,33,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,33,35M 24S
35,33,33M 40S
35,35,33M 6S
37,35,33M 0S
37,37,32M 5S
40,37,30M 52S
42,37,30M 31S
44,37,30M 4S
44,39,29M 47S
44,41,29M 10S
44,43,28M 42S
46,43,28M 29S
46,45,28M 7S
49,45,27M 21S
49,47,26M 10S
49,50,25M 45S
49,52,25M 13S
51,52,24M 26S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
51,53,23M 47S
51,54,23M 47S
54,54,23M 30S
56,54,22M 24S
58,54,21M 55S
60,54,21M 25S
60,56,20M 55S
63,56,20M 31S
65,56,20M 12S
68,56,19M 42S
68,59,19M 23S
69,59,18M 46S
70,59,18M 46S
70,61,18M 25S
73,61,17M 53S
73,64,17M 13S
73,66,16M 46S
73,67,16M 46S
75,67,16M 23S
75,70,16M 8S
76,70,15M 53S
77,70,15M 53S
77,72,15M 15S
80,72,15M 4S
81,72,14M 29S
82,72,14M 29S
82,74,14M 14S
84,74,13M 53S
85,74,13M 53S
85,75,13M 39S
85,76,13M 39S
87,76,12M 33S
87,78,12M 24S
87,79,12M 24S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
87,81,11M 9S
88,81,10M 54S
89,81,10M 54S
91,81,10M 28S
92,81,10M 28S
92,83,9M 26S
95,83,8M 50S
97,83,8M 22S
97,85,8M 4S
98,85,7M 47S
99,85,7M 47S
99,87,6M 46S
100,87,6M 26S
101,87,6M 26S
101,88,6M 14S
101,89,6M 14S
104,89,6M 0S
104,91,5M 42S
106,91,5M 29S
106,93,5M 12S
106,94,5M 12S
106,96,4M 48S
108,96,4M 37S
109,96,3M 56S
110,96,3M 56S
110,97,3M 49S
111,97,3M 9S
112,97,3M 9S
112,99,2M 54S
115,99,2M 29S
116,99,2M 14S
117,99,2M 14S
117,101,2M 4S
119,101,1M 45S
122,101,48S
124,101,16S
End of 4th quarter,NA,0S
