Portland,LA Lakers,time_rem
18-14,23-11,48M 0S
0,0,47M 44S
3,0,46M 51S
3,2,46M 27S
5,2,45M 56S
7,2,45M 33S
10,2,45M 5S
12,2,44M 21S
13,2,44M 21S
13,4,44M 8S
15,4,43M 38S
15,6,43M 11S
15,8,42M 18S
18,8,41M 29S
18,10,40M 31S
18,12,39M 56S
19,12,39M 36S
20,12,39M 36S
20,13,39M 25S
20,15,39M 18S
22,15,39M 7S
23,15,39M 7S
23,16,38M 48S
23,17,38M 48S
24,17,38M 32S
25,17,38M 32S
25,18,38M 19S
25,19,38M 19S
25,21,37M 47S
27,21,37M 36S
27,24,37M 22S
29,24,36M 33S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,24,35M 44S
32,25,34M 25S
34,25,33M 59S
34,28,33M 46S
37,28,33M 0S
37,31,32M 22S
37,33,31M 15S
37,34,31M 2S
37,36,30M 34S
37,38,29M 56S
37,39,29M 56S
39,39,29M 31S
39,41,28M 11S
41,41,28M 5S
42,41,28M 5S
45,41,27M 44S
45,43,26M 59S
46,43,26M 42S
47,43,26M 42S
47,45,26M 17S
48,45,26M 1S
49,45,26M 1S
49,46,25M 49S
49,47,25M 49S
49,50,25M 28S
52,50,25M 7S
53,50,25M 7S
54,50,24M 53S
55,50,24M 53S
55,52,24M 42S
55,54,24M 19S
57,54,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,54,23M 45S
59,57,23M 10S
59,59,22M 45S
59,61,21M 58S
61,61,21M 32S
61,62,20M 22S
63,62,19M 52S
63,64,19M 34S
64,64,19M 3S
65,64,19M 3S
65,65,18M 44S
65,68,17M 54S
67,68,17M 32S
67,71,16M 29S
67,73,16M 5S
68,73,15M 59S
69,73,15M 59S
69,75,15M 8S
69,76,15M 8S
69,77,14M 35S
69,78,14M 35S
69,80,14M 16S
69,82,13M 31S
71,82,13M 16S
74,82,12M 47S
74,83,12M 29S
74,84,12M 29S
74,85,12M 29S
76,85,12M 11S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
76,87,11M 42S
76,88,10M 44S
76,89,10M 44S
78,89,10M 26S
78,91,9M 47S
80,91,9M 31S
80,93,8M 57S
80,95,8M 25S
82,95,7M 48S
82,97,5M 57S
85,97,5M 36S
85,99,4M 43S
85,101,3M 57S
88,101,2M 56S
90,101,1M 6S
90,102,46S
93,102,24S
End of 4th quarter,NA,0S
