Portland,Memphis,time_rem
34-28,31-30,48M 0S
2,0,47M 43S
2,2,47M 20S
4,2,47M 4S
6,2,46M 38S
6,5,46M 26S
6,8,45M 54S
8,8,44M 57S
8,10,44M 45S
10,10,44M 7S
13,10,43M 39S
13,11,42M 24S
15,11,42M 13S
15,13,41M 50S
18,13,41M 33S
21,13,41M 10S
21,14,40M 57S
21,15,40M 57S
24,15,40M 43S
24,18,40M 11S
25,18,39M 57S
26,18,39M 57S
26,19,39M 14S
26,20,39M 14S
26,21,39M 14S
28,21,38M 57S
30,21,38M 39S
30,23,38M 14S
33,23,37M 57S
35,23,37M 37S
38,23,36M 5S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
38,25,35M 49S
40,25,35M 30S
40,26,34M 58S
41,26,34M 36S
42,26,34M 36S
42,28,33M 42S
44,28,33M 36S
44,30,33M 19S
46,30,33M 4S
49,30,32M 26S
49,32,32M 12S
51,32,31M 52S
53,32,31M 17S
53,33,31M 8S
53,34,31M 8S
56,34,30M 55S
58,34,30M 1S
58,35,29M 10S
58,36,29M 10S
59,36,28M 58S
60,36,28M 58S
62,36,28M 44S
63,36,28M 16S
64,36,28M 16S
65,36,27M 27S
66,36,27M 27S
66,38,27M 16S
67,38,27M 3S
68,38,27M 3S
71,38,26M 39S
71,40,26M 21S
71,42,25M 25S
74,42,25M 6S
74,44,24M 55S
74,45,24M 22S
74,46,24M 22S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
74,48,23M 48S
74,50,23M 22S
76,50,23M 7S
77,50,22M 44S
78,50,22M 13S
79,50,22M 13S
79,51,22M 4S
79,53,21M 36S
81,53,21M 15S
82,53,21M 15S
82,54,20M 21S
82,55,20M 21S
84,55,19M 46S
84,56,19M 36S
84,57,19M 36S
84,60,19M 16S
84,62,18M 53S
85,62,18M 38S
85,64,18M 20S
87,64,17M 46S
89,64,17M 33S
89,66,17M 18S
89,68,16M 35S
89,71,15M 55S
90,71,15M 33S
91,71,15M 33S
91,74,15M 24S
92,74,15M 12S
93,74,15M 12S
96,74,14M 26S
96,77,14M 3S
96,78,13M 39S
96,79,13M 39S
99,79,13M 16S
99,80,13M 8S
99,81,13M 8S
101,81,12M 53S
102,81,12M 53S
102,83,12M 30S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
104,83,11M 29S
106,83,10M 53S
109,83,10M 17S
109,85,9M 55S
111,85,9M 34S
111,87,9M 21S
111,89,8M 46S
113,89,7M 48S
113,91,7M 36S
116,91,7M 7S
118,91,6M 53S
118,93,6M 29S
120,93,5M 31S
120,95,4M 36S
120,98,3M 42S
120,99,3M 14S
120,100,3M 14S
122,100,2M 58S
122,102,2M 38S
123,102,2M 28S
124,102,2M 28S
124,103,2M 15S
124,105,1M 52S
124,106,1M 52S
125,106,1M 33S
127,106,48S
127,109,39S
130,109,8S
End of 4th quarter,NA,0S
