Sacramento,Boston,time_rem
17-24,20-21,48M 0S
0,0,47M 44S
0,3,47M 24S
3,3,46M 40S
3,6,45M 55S
5,6,45M 44S
5,8,44M 40S
8,8,44M 26S
8,10,44M 0S
10,10,43M 53S
13,10,43M 15S
13,13,42M 59S
16,13,42M 45S
18,13,41M 59S
20,13,41M 31S
22,13,40M 56S
22,16,40M 38S
23,16,40M 30S
24,16,40M 30S
26,16,40M 4S
26,18,39M 24S
26,20,38M 12S
26,22,37M 49S
28,22,37M 18S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,24,35M 41S
30,24,35M 21S
31,24,34M 48S
32,24,34M 48S
32,26,34M 35S
35,26,34M 18S
37,26,33M 46S
37,28,33M 22S
39,28,33M 7S
39,30,32M 49S
40,30,31M 52S
40,32,31M 36S
42,32,31M 16S
42,34,30M 11S
43,34,29M 48S
44,34,29M 48S
46,34,28M 36S
47,34,28M 36S
49,34,28M 3S
49,36,27M 47S
49,38,27M 8S
49,39,26M 5S
49,40,26M 5S
51,40,25M 54S
51,43,25M 28S
54,43,25M 2S
54,44,24M 47S
54,45,24M 47S
55,45,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,45,23M 33S
58,47,23M 23S
59,47,23M 6S
60,47,23M 6S
60,48,22M 54S
61,48,22M 48S
62,48,22M 48S
62,50,22M 35S
62,52,22M 8S
62,54,21M 38S
64,54,21M 28S
67,54,20M 43S
67,56,19M 54S
67,58,19M 22S
67,60,18M 54S
67,63,18M 17S
69,63,17M 56S
69,66,17M 33S
71,66,16M 47S
71,68,16M 1S
72,68,15M 46S
72,70,15M 26S
74,70,15M 21S
74,73,15M 10S
76,73,14M 16S
76,76,13M 57S
79,76,13M 42S
79,79,13M 28S
81,79,13M 12S
81,81,12M 51S
82,81,12M 9S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
84,81,11M 37S
84,84,11M 21S
86,84,9M 5S
86,87,7M 33S
87,87,6M 47S
90,87,5M 47S
90,89,5M 4S
90,91,4M 31S
92,91,4M 12S
95,91,3M 32S
95,93,2M 45S
97,93,2M 31S
100,93,1M 57S
102,93,1M 18S
103,93,1M 18S
103,95,1M 8S
103,96,1M 8S
104,96,1M 3S
105,96,1M 3S
106,96,25S
107,96,25S
End of 4th quarter,NA,0S
