Sacramento,Brooklyn,time_rem
12-19,21-12,48M 0S
0,2,47M 39S
0,5,47M 16S
2,5,46M 24S
2,7,46M 7S
4,7,45M 31S
4,9,45M 25S
5,9,44M 57S
6,9,44M 57S
6,11,44M 35S
6,13,44M 8S
9,13,43M 55S
9,16,43M 43S
11,16,43M 32S
12,16,43M 32S
12,18,43M 27S
13,18,43M 5S
13,21,42M 54S
13,22,42M 36S
13,23,42M 36S
15,23,42M 24S
15,25,42M 3S
15,27,41M 40S
17,27,40M 56S
17,28,40M 47S
17,29,40M 47S
19,29,40M 24S
22,29,40M 5S
22,32,39M 49S
22,33,39M 7S
23,33,39M 0S
24,33,39M 0S
26,33,38M 12S
26,35,37M 56S
26,37,37M 16S
28,37,37M 4S
28,40,36M 43S
28,41,36M 27S
28,42,36M 27S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,42,35M 45S
30,44,35M 30S
32,44,34M 58S
35,44,34M 34S
35,47,34M 15S
37,47,33M 52S
37,49,33M 25S
40,49,33M 12S
40,52,33M 0S
42,52,32M 9S
44,52,31M 31S
46,52,31M 14S
48,52,30M 41S
48,54,30M 25S
50,54,30M 9S
50,56,29M 4S
50,59,28M 45S
50,62,28M 15S
53,62,28M 0S
55,62,27M 36S
58,62,27M 10S
60,62,26M 38S
60,64,26M 16S
61,64,25M 43S
61,66,25M 25S
63,66,25M 0S
63,69,24M 49S
66,69,24M 32S
66,72,24M 25S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,73,23M 37S
67,73,23M 29S
67,75,22M 6S
68,75,21M 54S
68,78,21M 30S
71,78,21M 14S
74,78,20M 50S
74,80,20M 22S
74,81,20M 7S
74,82,20M 7S
77,82,19M 53S
77,83,19M 36S
77,85,19M 11S
77,87,18M 45S
79,87,18M 20S
79,89,17M 41S
81,89,17M 19S
81,91,16M 50S
81,92,16M 14S
84,92,16M 1S
86,92,15M 28S
88,92,14M 54S
88,94,14M 21S
90,94,13M 18S
90,95,13M 8S
92,95,13M 0S
94,95,12M 42S
96,95,12M 14S
96,98,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
96,101,11M 17S
96,102,10M 45S
96,103,10M 45S
98,103,10M 32S
100,103,10M 1S
100,106,9M 43S
103,106,8M 53S
103,107,8M 41S
106,107,8M 21S
106,109,7M 43S
106,110,7M 43S
109,110,7M 7S
109,111,6M 42S
109,112,6M 42S
109,114,5M 27S
109,116,4M 40S
109,119,3M 56S
109,121,3M 33S
110,121,3M 22S
110,124,3M 5S
111,124,2M 14S
112,124,2M 14S
113,124,1M 25S
113,125,1M 22S
113,126,1M 1S
113,127,1M 1S
115,127,49S
118,127,16S
End of 4th quarter,NA,0S
