Sacramento,Denver,time_rem
1-0,0-1,48M 0S
0,0,47M 39S
0,2,47M 3S
1,2,46M 48S
1,5,46M 36S
4,5,46M 9S
4,7,45M 21S
6,7,45M 6S
7,7,45M 6S
7,10,44M 58S
7,12,44M 42S
7,14,44M 25S
8,14,43M 49S
9,14,43M 49S
9,15,43M 36S
12,15,43M 16S
14,15,42M 49S
14,18,42M 28S
14,20,41M 47S
16,20,41M 32S
16,21,41M 4S
16,22,41M 4S
18,22,40M 45S
18,24,40M 16S
21,24,39M 58S
21,26,38M 36S
23,26,38M 22S
25,26,38M 1S
25,28,37M 48S
25,30,37M 22S
25,31,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,31,35M 43S
27,31,35M 43S
28,31,35M 7S
30,31,34M 49S
30,33,34M 34S
30,36,34M 16S
33,36,33M 50S
33,38,33M 27S
35,38,33M 0S
35,40,32M 38S
37,40,32M 16S
37,42,31M 24S
37,43,31M 24S
39,43,30M 50S
41,43,30M 23S
41,45,29M 41S
43,45,28M 40S
43,47,28M 15S
44,47,28M 0S
45,47,28M 0S
45,49,27M 30S
45,51,27M 4S
47,51,26M 55S
47,52,26M 12S
47,53,26M 12S
47,56,25M 53S
49,56,25M 30S
49,58,24M 56S
51,58,24M 30S
51,59,24M 11S
51,60,24M 11S
53,60,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,60,23M 49S
56,60,23M 49S
59,60,23M 24S
59,63,23M 11S
61,63,22M 4S
61,65,21M 41S
61,68,21M 19S
63,68,21M 3S
65,68,20M 44S
66,68,19M 55S
67,68,19M 55S
67,70,19M 41S
68,70,19M 29S
69,70,19M 29S
70,70,19M 29S
72,70,18M 55S
72,72,18M 36S
74,72,18M 0S
75,72,18M 0S
75,74,17M 41S
78,74,16M 58S
78,76,16M 39S
78,77,16M 12S
80,77,15M 52S
80,78,15M 20S
80,79,15M 20S
82,79,15M 8S
83,79,15M 8S
83,81,14M 54S
85,81,14M 46S
85,84,14M 27S
86,84,13M 6S
87,84,13M 6S
89,84,12M 35S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,85,11M 48S
89,86,11M 48S
91,86,11M 27S
91,88,11M 16S
93,88,10M 36S
93,90,10M 17S
96,90,10M 9S
96,92,9M 50S
97,92,9M 45S
100,92,8M 43S
100,93,8M 25S
100,95,8M 4S
101,95,7M 45S
102,95,7M 45S
102,97,6M 53S
102,99,6M 17S
105,99,5M 38S
105,101,5M 31S
105,102,5M 31S
106,102,4M 51S
106,104,4M 31S
109,104,4M 8S
109,106,3M 6S
109,108,3M 0S
109,109,2M 36S
109,110,2M 36S
111,110,2M 24S
112,110,1M 49S
112,111,29S
112,112,29S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: H. Whiteside vs. N. Jokić (P. Millsap gains possession),NA,5M 0S
114,112,4M 23S
114,114,4M 9S
116,114,3M 28S
116,116,3M 3S
116,118,2M 29S
116,120,1M 33S
118,120,1M 27S
118,122,1M 9S
120,122,53S
122,122,6S
124,122,0S
End of 1st overtime,NA,0S
