Sacramento,Miami,time_rem
8-11,7-12,48M 0S
0,0,47M 45S
0,1,46M 51S
3,1,46M 40S
3,3,46M 21S
6,3,45M 4S
6,5,44M 49S
9,5,44M 33S
12,5,44M 6S
14,5,43M 39S
14,7,43M 24S
16,7,43M 6S
18,7,42M 26S
18,9,42M 18S
20,9,41M 51S
20,10,41M 41S
20,11,41M 41S
20,13,40M 19S
22,13,40M 0S
22,15,39M 28S
22,18,39M 6S
24,18,38M 46S
24,21,38M 33S
27,21,38M 18S
30,21,37M 48S
30,24,37M 26S
32,24,36M 44S
35,24,36M 5S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,26,35M 23S
37,26,35M 2S
37,27,34M 51S
37,28,34M 51S
37,31,34M 30S
37,33,34M 10S
37,35,33M 31S
38,35,32M 28S
38,36,31M 21S
38,37,31M 21S
38,38,31M 21S
39,38,30M 59S
40,38,30M 59S
40,40,30M 40S
43,40,28M 51S
43,43,28M 37S
45,43,28M 14S
47,43,27M 34S
47,45,27M 20S
47,47,27M 4S
50,47,26M 39S
50,48,26M 29S
50,49,26M 29S
53,49,26M 13S
53,51,25M 59S
56,51,25M 49S
56,53,25M 35S
56,55,25M 7S
56,56,24M 5S
56,57,24M 5S
59,57,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,57,23M 44S
61,60,22M 24S
64,60,22M 1S
64,62,21M 40S
64,64,21M 13S
64,65,20M 35S
64,66,20M 35S
66,66,19M 50S
66,68,19M 30S
66,69,19M 30S
66,71,19M 14S
68,71,18M 58S
68,74,17M 44S
71,74,17M 26S
71,76,16M 36S
71,77,16M 8S
73,77,15M 55S
73,80,15M 23S
75,80,14M 19S
77,80,13M 41S
77,81,13M 29S
77,84,12M 16S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
77,86,11M 43S
78,86,11M 30S
78,88,11M 17S
80,88,10M 59S
80,91,10M 33S
82,91,10M 12S
85,91,9M 31S
88,91,8M 55S
90,91,7M 59S
90,92,7M 15S
90,94,6M 40S
92,94,5M 22S
92,97,4M 58S
93,97,4M 26S
93,98,4M 17S
93,99,4M 17S
95,99,4M 5S
97,99,3M 54S
97,100,3M 45S
97,101,3M 45S
99,101,2M 52S
99,103,2M 32S
101,103,2M 21S
104,103,1M 44S
104,105,42S
End of 4th quarter,NA,0S
