Sacramento,Minnesota,time_rem
22-29,13-38,48M 0S
0,0,47M 47S
0,2,47M 38S
2,2,46M 31S
4,2,46M 6S
4,4,45M 52S
4,6,45M 13S
6,6,45M 1S
6,7,44M 56S
6,8,44M 56S
8,8,44M 47S
8,11,44M 37S
9,11,43M 56S
10,11,43M 56S
10,13,43M 45S
13,13,43M 28S
15,13,43M 7S
17,13,42M 43S
18,13,42M 43S
18,16,42M 27S
21,16,42M 6S
21,18,41M 51S
21,19,40M 53S
21,20,40M 53S
22,20,40M 40S
22,22,40M 29S
24,22,40M 10S
27,22,39M 32S
Jump ball: K. Towns vs. R. Holmes (J. McLaughlin gains possession),NA,38M 36S
29,22,38M 0S
29,24,37M 41S
29,26,37M 16S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,28,35M 43S
30,28,35M 29S
32,28,34M 49S
32,29,34M 26S
34,29,34M 8S
34,31,33M 44S
35,31,33M 23S
35,32,33M 13S
35,33,33M 13S
35,36,32M 39S
Jump ball: H. Whiteside vs. J. Layman (T. Davis gains possession),NA,32M 15S
35,39,31M 10S
37,39,30M 58S
37,42,30M 4S
Jump ball: K. Towns vs. B. Hield (J. Hernangómez gains possession),NA,29M 28S
37,43,29M 12S
37,44,29M 12S
39,44,28M 57S
39,46,28M 32S
41,46,28M 24S
41,48,28M 5S
41,49,28M 5S
44,49,27M 45S
44,50,27M 32S
46,50,27M 21S
47,50,26M 59S
48,50,26M 59S
48,53,26M 45S
49,53,25M 31S
50,53,25M 31S
52,53,25M 13S
53,53,25M 13S
53,55,24M 53S
54,55,24M 33S
55,55,24M 33S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,57,23M 46S
58,57,23M 28S
59,57,23M 4S
61,57,22M 39S
63,57,22M 14S
63,58,22M 4S
63,59,22M 4S
63,60,21M 4S
65,60,20M 14S
65,62,20M 0S
65,63,18M 53S
65,64,18M 53S
67,64,18M 44S
70,64,18M 11S
70,67,17M 47S
72,67,17M 27S
72,69,16M 56S
72,70,16M 14S
74,70,16M 7S
74,72,15M 52S
77,72,15M 37S
79,72,15M 11S
80,72,15M 11S
80,75,14M 59S
80,78,14M 35S
80,80,13M 35S
82,80,12M 44S
82,82,12M 30S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,84,10M 57S
84,84,10M 43S
84,85,10M 23S
84,86,10M 23S
86,86,10M 4S
86,88,9M 46S
88,88,9M 11S
88,90,8M 53S
88,91,8M 53S
91,91,8M 40S
91,92,8M 21S
93,92,8M 12S
93,94,7M 21S
93,96,6M 45S
93,99,6M 26S
93,102,5M 50S
Jump ball: D. Russell vs. T. Davis (A. Edwards gains possession),NA,5M 32S
93,103,5M 22S
93,104,5M 22S
94,104,4M 53S
95,104,4M 53S
95,106,4M 38S
97,106,4M 26S
97,107,4M 8S
98,107,3M 28S
101,107,2M 51S
103,107,2M 30S
103,108,2M 12S
103,109,2M 12S
105,109,2M 3S
105,112,1M 44S
106,112,1M 26S
106,113,52S
106,114,52S
106,116,27S
End of 4th quarter,NA,0S
