Sacramento,Phoenix,time_rem
22-34,40-15,48M 0S
2,0,47M 48S
2,2,47M 32S
2,5,47M 8S
2,8,46M 46S
3,8,46M 24S
4,8,46M 24S
4,11,46M 11S
4,13,45M 17S
7,13,44M 36S
10,13,44M 11S
10,16,43M 30S
13,16,43M 13S
13,19,42M 13S
15,19,41M 28S
15,21,41M 7S
17,21,40M 50S
17,24,40M 4S
17,25,39M 26S
17,26,39M 26S
20,26,39M 14S
22,26,38M 28S
22,29,38M 12S
24,29,37M 46S
24,30,37M 0S
24,31,37M 0S
26,31,36M 43S
26,32,36M 21S
26,33,36M 21S
28,33,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,35,35M 38S
31,35,35M 22S
31,38,35M 4S
33,38,34M 38S
33,40,34M 22S
33,42,34M 2S
33,45,33M 30S
35,45,33M 14S
37,45,32M 49S
38,45,32M 49S
38,47,32M 27S
41,47,32M 13S
41,50,32M 0S
43,50,31M 52S
46,50,31M 15S
47,50,30M 46S
48,50,30M 46S
48,52,30M 35S
48,55,30M 12S
48,57,29M 13S
49,57,29M 1S
52,57,28M 38S
52,59,28M 22S
55,59,28M 14S
57,59,27M 41S
57,61,27M 32S
59,61,26M 59S
59,63,26M 40S
60,63,26M 26S
60,65,26M 16S
62,65,26M 5S
65,65,25M 20S
65,67,25M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,69,23M 50S
68,69,23M 31S
68,71,23M 13S
70,71,22M 29S
70,73,22M 19S
72,73,22M 5S
72,74,21M 50S
72,75,21M 50S
74,75,21M 8S
74,77,20M 46S
77,77,20M 24S
77,80,20M 12S
77,82,19M 25S
77,84,19M 10S
79,84,18M 12S
79,86,17M 53S
82,86,16M 48S
84,86,16M 22S
84,88,16M 16S
84,90,15M 43S
86,90,14M 53S
88,90,14M 27S
90,90,13M 57S
90,93,13M 38S
90,95,12M 56S
91,95,12M 37S
92,95,12M 37S
93,95,12M 3S
94,95,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
96,95,11M 42S
96,97,11M 4S
99,97,9M 51S
99,99,9M 27S
99,101,8M 20S
99,103,7M 51S
99,105,7M 20S
100,105,7M 7S
100,108,6M 45S
102,108,6M 32S
104,108,5M 35S
104,110,4M 38S
104,112,3M 57S
106,112,3M 41S
106,114,3M 26S
Jump ball: H. Barnes vs. D. Ayton (B. Hield gains possession),NA,3M 12S
108,114,3M 1S
108,115,2M 38S
108,116,2M 38S
109,116,2M 32S
109,117,2M 8S
109,118,2M 8S
111,118,1M 53S
111,120,1M 37S
112,120,1M 22S
112,122,58S
114,122,23S
End of 4th quarter,NA,0S
