Sacramento,San Antonio,time_rem
22-26,24-21,48M 0S
0,0,47M 46S
2,0,47M 33S
4,0,46M 57S
4,3,45M 57S
7,3,45M 18S
7,6,45M 2S
9,6,44M 49S
9,8,44M 16S
9,10,44M 0S
9,12,43M 43S
11,12,43M 22S
11,14,42M 23S
11,17,41M 51S
12,17,41M 11S
13,17,41M 11S
13,20,40M 11S
14,20,40M 1S
15,20,40M 1S
16,20,39M 35S
17,20,39M 35S
17,22,38M 51S
17,25,38M 13S
19,25,37M 47S
19,26,37M 31S
19,27,37M 31S
22,27,37M 22S
22,30,37M 8S
24,30,36M 55S
24,31,36M 42S
26,31,36M 28S
26,33,36M 10S
27,33,36M 10S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,33,35M 42S
30,35,35M 27S
33,35,35M 19S
35,35,35M 0S
35,36,34M 38S
35,37,34M 38S
35,40,34M 16S
37,40,34M 2S
38,40,33M 37S
39,40,33M 37S
39,42,32M 59S
39,45,32M 40S
40,45,32M 17S
40,48,32M 4S
42,48,31M 51S
42,50,31M 35S
42,52,31M 11S
45,52,30M 54S
45,54,29M 59S
46,54,29M 40S
47,54,29M 40S
47,56,28M 48S
49,56,28M 36S
49,58,28M 15S
51,58,27M 57S
51,59,27M 42S
51,60,27M 42S
51,61,27M 17S
51,63,26M 39S
51,65,25M 53S
51,66,25M 13S
51,67,25M 13S
53,67,25M 3S
53,69,24M 50S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
53,71,23M 37S
56,71,23M 25S
56,73,23M 13S
58,73,22M 58S
58,76,22M 45S
61,76,22M 31S
61,78,22M 13S
63,78,21M 58S
63,80,21M 32S
63,82,21M 2S
65,82,20M 50S
65,84,20M 33S
67,84,20M 22S
67,86,19M 52S
67,88,19M 22S
67,90,17M 7S
70,90,16M 56S
73,90,16M 24S
73,92,16M 7S
75,92,15M 58S
78,92,15M 14S
78,94,14M 37S
80,94,13M 54S
82,94,13M 29S
82,95,12M 13S
82,96,12M 13S
82,97,12M 13S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
84,97,11M 2S
84,98,10M 6S
84,99,10M 6S
84,100,10M 6S
85,100,9M 59S
86,100,9M 59S
86,101,9M 18S
86,102,9M 18S
89,102,9M 2S
89,104,8M 41S
89,105,7M 53S
89,106,7M 53S
91,106,7M 7S
91,107,6M 53S
91,108,6M 53S
91,110,6M 27S
93,110,6M 17S
94,110,5M 40S
94,111,5M 39S
96,111,5M 29S
96,112,4M 50S
96,114,4M 17S
98,114,4M 3S
98,116,3M 40S
100,116,3M 28S
100,118,3M 9S
102,118,2M 21S
102,120,1M 28S
103,120,1M 21S
104,120,1M 21S
106,120,25S
End of 4th quarter,NA,0S
