San Antonio,Charlotte,time_rem
16-11,13-15,48M 0S
0,0,47M 45S
0,3,47M 18S
0,5,46M 44S
0,7,46M 4S
2,7,45M 47S
2,9,45M 35S
2,11,45M 9S
3,11,44M 34S
4,11,44M 34S
4,13,44M 17S
6,13,44M 1S
8,13,43M 40S
8,16,43M 31S
10,16,43M 0S
11,16,42M 39S
11,18,41M 51S
12,18,41M 36S
13,18,41M 36S
13,20,41M 22S
15,20,40M 9S
17,20,39M 50S
17,22,39M 26S
17,25,38M 52S
17,27,38M 22S
17,29,37M 49S
17,31,37M 27S
17,33,36M 55S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
19,33,35M 45S
22,33,35M 12S
25,33,34M 50S
27,33,34M 19S
28,33,34M 19S
28,36,34M 5S
28,38,33M 43S
28,41,33M 20S
30,41,33M 4S
32,41,32M 42S
35,41,32M 19S
35,44,32M 5S
37,44,31M 51S
37,47,31M 30S
39,47,31M 5S
39,49,30M 43S
42,49,30M 32S
44,49,30M 0S
44,51,29M 51S
46,51,29M 36S
46,53,29M 19S
49,53,29M 3S
51,53,28M 48S
53,53,28M 13S
55,53,27M 26S
55,55,27M 3S
57,55,26M 18S
59,55,25M 27S
60,55,25M 27S
62,55,25M 3S
62,57,24M 45S
62,59,24M 30S
64,59,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,59,23M 45S
65,61,23M 21S
67,61,22M 37S
67,64,22M 15S
69,64,22M 0S
69,66,21M 9S
69,69,20M 20S
69,71,19M 50S
69,74,19M 17S
71,74,19M 0S
71,77,18M 48S
73,77,18M 32S
75,77,17M 53S
77,77,17M 15S
77,79,16M 56S
80,79,16M 34S
80,81,15M 58S
80,82,15M 58S
82,82,15M 3S
82,84,14M 26S
82,85,13M 48S
84,85,13M 32S
87,85,13M 15S
87,87,12M 56S
89,87,12M 43S
89,89,12M 33S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,91,11M 1S
92,91,10M 47S
92,93,10M 26S
94,93,9M 11S
96,93,8M 6S
99,93,7M 30S
99,95,7M 18S
101,95,6M 58S
103,95,6M 27S
103,97,6M 4S
105,97,5M 51S
105,99,5M 38S
108,99,5M 20S
110,99,4M 55S
111,99,3M 36S
112,99,3M 36S
112,100,3M 26S
112,101,3M 26S
112,102,3M 26S
113,102,2M 56S
114,102,2M 56S
114,103,2M 45S
114,105,2M 14S
114,108,1M 58S
116,108,1M 27S
116,109,1M 9S
116,110,1M 9S
118,110,47S
119,110,29S
120,110,29S
121,110,19S
122,110,19S
End of 4th quarter,NA,0S
