San Antonio,Orlando,time_rem
26-26,17-37,48M 0S
0,2,47M 45S
3,2,47M 28S
3,5,46M 41S
3,7,46M 9S
3,9,44M 58S
5,9,44M 39S
5,11,44M 20S
7,11,44M 7S
7,13,43M 16S
9,13,41M 34S
11,13,41M 14S
13,13,40M 43S
16,13,40M 14S
19,13,39M 48S
21,13,37M 13S
22,13,37M 13S
25,13,36M 32S
25,14,36M 16S
25,15,36M 16S
25,16,36M 16S
28,16,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,16,35M 15S
31,19,34M 53S
33,19,34M 14S
33,21,33M 26S
36,21,33M 17S
38,21,32M 0S
40,21,30M 57S
40,22,30M 33S
41,22,30M 15S
42,22,30M 15S
44,22,29M 42S
44,23,29M 5S
44,24,29M 5S
44,26,28M 39S
47,26,28M 20S
47,28,28M 4S
49,28,27M 41S
49,31,27M 24S
49,32,27M 1S
49,33,27M 1S
51,33,26M 51S
51,35,26M 4S
53,35,25M 48S
54,35,25M 48S
55,35,25M 25S
56,35,25M 25S
56,37,25M 10S
58,37,24M 51S
60,37,24M 5S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
63,37,23M 46S
63,39,23M 25S
63,40,23M 25S
65,40,23M 16S
67,40,22M 49S
67,41,22M 3S
69,41,21M 23S
69,43,21M 11S
71,43,20M 54S
71,45,20M 6S
73,45,19M 54S
73,47,19M 35S
73,48,19M 5S
73,49,19M 5S
75,49,18M 50S
75,51,18M 35S
75,53,18M 7S
75,55,17M 19S
77,55,16M 40S
77,56,16M 26S
79,56,16M 5S
81,56,15M 7S
81,58,14M 26S
83,58,13M 16S
85,58,12M 45S
87,58,12M 39S
87,59,12M 27S
89,59,12M 7S
89,61,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,63,11M 41S
89,65,11M 8S
91,65,10M 40S
91,67,10M 17S
92,67,9M 37S
93,67,9M 37S
93,69,9M 6S
95,69,8M 45S
96,69,8M 30S
97,69,8M 30S
99,69,7M 53S
99,70,7M 45S
99,71,7M 45S
99,73,7M 27S
99,75,7M 2S
101,75,6M 28S
101,77,5M 54S
104,77,5M 42S
104,79,5M 19S
106,79,5M 8S
106,81,4M 49S
108,81,4M 6S
110,81,3M 44S
110,82,3M 27S
112,82,3M 14S
112,84,2M 57S
112,87,2M 53S
114,87,2M 41S
114,89,2M 15S
116,89,1M 59S
116,92,1M 44S
117,92,1M 40S
118,92,1M 40S
118,93,1M 3S
119,93,54S
120,93,54S
120,94,37S
120,95,37S
120,97,22S
End of 4th quarter,NA,0S
