San Antonio,Washington,time_rem
31-29,27-34,48M 0S
0,2,47M 39S
2,2,47M 29S
3,2,47M 29S
3,4,47M 15S
5,4,46M 58S
5,6,46M 48S
5,8,46M 3S
6,8,45M 46S
6,9,45M 33S
6,10,45M 33S
8,10,45M 17S
10,10,44M 56S
10,12,44M 15S
12,12,43M 53S
12,14,43M 35S
14,14,43M 23S
14,16,43M 9S
14,17,43M 9S
16,17,42M 56S
17,17,42M 56S
18,17,42M 8S
19,17,42M 8S
19,19,41M 51S
21,19,41M 35S
22,19,41M 18S
22,21,40M 34S
22,23,40M 5S
24,23,39M 54S
24,25,39M 34S
26,25,39M 9S
26,27,39M 0S
27,27,38M 48S
28,27,38M 48S
31,27,38M 27S
31,30,38M 20S
32,30,37M 59S
33,30,37M 59S
36,30,37M 18S
36,32,37M 1S
38,32,36M 46S
38,34,36M 11S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
40,34,34M 22S
40,37,34M 5S
41,37,33M 46S
41,39,33M 11S
44,39,32M 50S
46,39,32M 18S
46,40,32M 3S
46,41,32M 3S
46,43,31M 43S
46,45,31M 4S
48,45,30M 42S
48,47,30M 20S
50,47,29M 43S
50,49,29M 27S
52,49,29M 2S
52,51,28M 39S
54,51,28M 21S
54,53,27M 45S
57,53,27M 3S
59,53,26M 29S
59,56,26M 10S
60,56,25M 53S
61,56,25M 53S
61,58,25M 36S
63,58,25M 22S
65,58,24M 52S
65,60,24M 37S
65,62,24M 16S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,64,23M 29S
67,64,23M 12S
67,66,22M 34S
67,68,22M 19S
69,68,22M 7S
69,70,21M 10S
71,70,20M 50S
71,72,20M 31S
72,72,20M 15S
73,72,20M 15S
73,73,20M 3S
73,74,20M 3S
75,74,19M 51S
75,76,19M 38S
75,78,19M 13S
77,78,18M 57S
79,78,18M 27S
79,79,18M 16S
79,80,18M 16S
79,82,17M 48S
79,83,17M 15S
79,84,17M 15S
79,85,17M 15S
79,86,17M 15S
81,86,16M 44S
81,87,16M 34S
81,88,16M 34S
82,88,16M 18S
84,88,16M 1S
85,88,16M 1S
87,88,15M 32S
87,90,15M 18S
87,92,14M 49S
89,92,14M 23S
89,93,14M 17S
90,93,13M 33S
92,93,13M 23S
94,93,12M 39S
95,93,12M 39S
95,95,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
95,98,11M 49S
95,100,11M 12S
95,101,10M 48S
95,102,10M 48S
95,103,10M 20S
95,104,10M 20S
97,104,10M 5S
98,104,10M 5S
98,105,9M 53S
100,105,9M 36S
100,107,9M 27S
101,107,9M 7S
101,109,8M 56S
103,109,8M 33S
105,109,8M 5S
105,111,7M 52S
106,111,7M 43S
106,113,7M 21S
108,113,6M 50S
108,115,6M 30S
110,115,6M 16S
112,115,5M 49S
113,115,5M 49S
113,118,5M 30S
115,118,5M 13S
116,118,4M 52S
117,118,4M 52S
119,118,4M 28S
119,120,3M 56S
122,120,3M 43S
122,122,3M 21S
124,122,3M 6S
124,124,2M 52S
127,124,2M 34S
127,127,2M 14S
127,129,1M 43S
129,129,1M 27S
129,131,1M 7S
131,131,55S
133,131,22S
133,133,15S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: J. Poeltl vs. D. Gafford (D. Murray gains possession),NA,5M 0S
135,133,4M 45S
135,135,4M 32S
136,135,3M 57S
137,135,3M 57S
137,137,3M 42S
139,137,3M 7S
139,139,2M 50S
141,139,2M 35S
142,139,2M 10S
142,141,1M 54S
142,143,1M 24S
144,143,1M 9S
145,143,5S
146,143,5S
End of 1st overtime,NA,0S
