Toronto,LA Lakers,time_rem
27-38,36-28,48M 0S
0,2,47M 42S
1,2,46M 58S
2,2,46M 58S
5,2,46M 42S
5,5,46M 26S
7,5,46M 17S
7,7,45M 30S
7,9,45M 10S
9,9,44M 54S
9,11,43M 56S
9,12,43M 56S
12,12,43M 44S
12,14,43M 29S
12,16,42M 52S
15,16,42M 33S
15,18,41M 40S
15,21,41M 17S
15,22,40M 39S
15,25,40M 31S
15,26,40M 14S
15,27,40M 14S
17,27,39M 59S
19,27,39M 19S
20,27,39M 19S
22,27,38M 41S
22,29,37M 47S
25,29,37M 34S
25,32,37M 24S
27,32,37M 12S
28,32,37M 12S
28,35,36M 59S
31,35,36M 48S
31,36,36M 40S
31,37,36M 28S
31,38,36M 28S
32,38,36M 7S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,38,35M 2S
34,38,35M 2S
35,38,35M 2S
35,40,34M 48S
37,40,34M 11S
40,40,33M 55S
40,43,32M 57S
40,45,32M 11S
41,45,32M 11S
41,46,32M 11S
42,46,31M 55S
44,46,31M 26S
45,46,31M 26S
45,48,30M 31S
46,48,30M 25S
47,48,30M 25S
47,50,30M 11S
49,50,29M 59S
49,53,29M 48S
50,53,29M 32S
51,53,28M 52S
53,53,28M 25S
54,53,28M 11S
55,53,28M 11S
55,54,27M 56S
57,54,27M 41S
59,54,27M 3S
59,57,26M 51S
62,57,26M 38S
63,57,26M 16S
65,57,25M 10S
67,57,24M 52S
67,59,24M 33S
70,59,24M 25S
72,59,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
74,59,23M 19S
77,59,22M 28S
77,61,21M 31S
80,61,20M 45S
82,61,20M 10S
82,63,19M 47S
82,65,19M 20S
82,66,18M 35S
82,67,18M 35S
84,67,17M 32S
84,69,17M 15S
86,69,16M 55S
86,71,16M 40S
88,71,16M 25S
88,72,16M 10S
91,72,15M 13S
91,74,14M 49S
93,74,14M 34S
93,76,14M 19S
96,76,14M 5S
97,76,14M 5S
97,78,13M 57S
99,78,13M 36S
99,79,13M 26S
99,80,13M 26S
99,81,12M 52S
99,84,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
101,84,11M 31S
101,87,11M 4S
101,89,10M 9S
101,91,9M 39S
104,91,9M 17S
104,93,8M 49S
106,93,8M 21S
109,93,7M 53S
109,94,6M 56S
109,95,6M 56S
111,95,6M 42S
111,97,6M 29S
111,98,6M 29S
111,100,5M 52S
114,100,5M 28S
114,102,5M 5S
116,102,4M 37S
117,102,4M 17S
117,104,4M 1S
117,106,3M 6S
119,106,2M 52S
119,108,2M 36S
119,109,1M 38S
119,110,1M 38S
119,113,58S
120,113,37S
120,114,35S
121,114,26S
End of 4th quarter,NA,0S
