Toronto,Phoenix,time_rem
1-6,6-2,48M 0S
0,0,47M 45S
1,0,47M 3S
2,0,47M 3S
2,2,46M 15S
2,4,45M 23S
5,4,44M 54S
7,4,44M 23S
7,7,44M 5S
7,9,43M 46S
7,11,43M 27S
9,11,43M 0S
10,11,42M 33S
10,13,42M 19S
13,13,41M 59S
15,13,40M 41S
17,13,40M 13S
20,13,39M 53S
20,16,39M 14S
23,16,39M 1S
23,18,38M 27S
23,20,37M 28S
25,20,37M 3S
25,22,36M 41S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,25,35M 36S
28,25,34M 54S
28,28,34M 36S
28,30,33M 42S
28,33,33M 27S
30,33,32M 59S
31,33,32M 59S
33,33,32M 25S
35,33,32M 16S
35,35,31M 52S
37,35,31M 12S
37,38,31M 0S
39,38,30M 4S
40,38,30M 4S
40,41,29M 40S
41,41,29M 20S
43,41,28M 27S
44,41,28M 0S
45,41,28M 0S
45,44,27M 50S
47,44,27M 28S
47,46,27M 11S
49,46,26M 59S
49,47,26M 34S
49,48,26M 34S
49,51,26M 7S
49,52,25M 51S
52,52,25M 37S
52,54,25M 21S
53,54,25M 12S
53,56,25M 1S
54,56,24M 44S
54,58,24M 32S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,58,23M 40S
58,58,23M 17S
60,58,22M 43S
60,61,22M 19S
60,64,21M 52S
60,67,21M 29S
60,70,20M 54S
62,70,20M 28S
65,70,19M 45S
68,70,19M 6S
68,71,18M 42S
68,72,18M 42S
69,72,18M 33S
70,72,18M 33S
70,73,18M 23S
70,74,18M 23S
71,74,17M 56S
71,76,17M 43S
73,76,17M 12S
73,79,16M 56S
76,79,16M 23S
76,80,15M 40S
76,81,15M 40S
76,84,15M 5S
78,84,14M 46S
81,84,14M 7S
81,85,13M 55S
81,86,13M 55S
82,86,13M 41S
83,86,13M 41S
83,88,13M 24S
83,91,12M 55S
85,91,12M 35S
85,94,12M 32S
87,94,12M 18S
87,95,12M 5S
87,96,12M 5S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,96,11M 31S
90,99,11M 7S
90,101,10M 32S
90,102,10M 32S
90,105,9M 31S
93,105,9M 16S
93,108,9M 5S
95,108,8M 27S
96,108,8M 8S
97,108,8M 8S
97,111,7M 56S
98,111,7M 45S
99,111,7M 45S
99,113,7M 2S
99,114,7M 2S
100,114,6M 44S
103,114,6M 11S
104,114,4M 4S
106,114,3M 29S
108,114,2M 34S
108,115,2M 11S
108,116,2M 11S
108,117,2M 11S
109,117,1M 55S
109,119,1M 34S
110,119,1M 21S
113,119,1M 4S
113,120,53S
113,121,53S
115,121,34S
115,122,31S
115,123,31S
End of 4th quarter,NA,0S
